# GENERATED by hc-conformance --write-counterfactual. One line per grammar-observable
# surface a fixture contains: the verdict, the fixture, what was neutralized, the
# observed delta, and the structural counter-example fields CoverageEvidencePipeline
# joins into an Evidence record (never re-derived from delta's free text). Absent
# fields are "-".
#   Evidenced        neutralizing it changed a result
#   RequiredByLoader the mutant would not load: HermitCrab's own loader threw (an
#                    IDREF/lookup/coercion failure) after passing DTD validation --
#                    a real engine-semantic witness, though not a word-level delta
#   EvidencedJointly only a joint mutation with an independent partner changed a result;
#                    weaker than Evidenced/RequiredByLoader, see CounterfactualGate.EvaluateJointly
#   RequiredByDtd    the mutant would not load: it failed generic DTD content-model
#                    validation before HermitCrab's loader ran at all -- this only
#                    re-derives Level 1's static DTD enumeration and is NOT equally
#                    conclusive with Evidenced; there is no parse-time witness
#   Timeout          the mutant did not finish in time, which is not evidence
#   Unobservable     neutralizing it changed nothing, which is not evidence
# fixture is the first-discovered fixture reaching verdict (its run is what mutation/
# delta/example describe); witnessed_by is EVERY fixture that reached the identical
# verdict, comma-separated, ALWAYS including fixture -- a tie is not a loss, see
# CounterfactualLedger.Sweep. FoldInCandidateLedger reads this to tell 'only an edge
# case witnesses this' from 'an edge case was merely recorded first'.
surface	verdict	fixture	mutation	delta	example_word	example_outcome	counterexample_kind	counterexample_outcome	witnessed_by
dtd:element/BoundaryDefinition	RequiredByDtd	edge-cases/loader-isactive	removed 1 <BoundaryDefinition> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'BoundaryDefinitions' has incomplete co...	kat	ok::|kat	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'BoundaryDefinitions' has incomplete co...	edge-cases/loader-isactive,edge-cases/loader-isactive-breadth,edge-cases/strrep-identity,languages/fusional-realizational-morphology,languages/metathesis-phase-isolation,languages/polysynthetic-stratal-derivation-chain
dtd:element/BoundaryDefinitions	RequiredByDtd	edge-cases/loader-isactive-breadth	removed 1 <BoundaryDefinitions> element(s)	InvalidOperationException: Unhandled exception. SIL.Machine.Morphology.HermitCrab.InvalidShapeException: The shape, +, contains an undefined phonem...	kul	ok::KUL|kul	LoadFailure	InvalidOperationException: Unhandled exception. SIL.Machine.Morphology.HermitCrab.InvalidShapeException: The shape, +, contains an undefined phonem...	edge-cases/loader-isactive-breadth,edge-cases/strrep-identity,languages/fusional-realizational-morphology,languages/metathesis-phase-isolation,languages/polysynthetic-stratal-derivation-chain
dtd:element/BoundaryMarker	Unobservable	languages/metathesis-phase-isolation	removed 1 <BoundaryMarker> element(s)	all 19 word(s) unchanged	-	-	None	-	languages/metathesis-phase-isolation
dtd:element/CharacterDefinitionTable	RequiredByDtd	edge-cases/alpha-variable-name-collision	removed 1 <CharacterDefinitionTable> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'Language' has invalid child element 'N...	au	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'Language' has invalid child element 'N...	edge-cases/alpha-variable-name-collision,edge-cases/bistratal-overlapping-segment-representation,edge-cases/compounding-breadth,edge-cases/diacritic-segments,edge-cases/disjunctive-recheck,edge-cases/feature-gating-breadth,edge-cases/feature-system-breadth,edge-cases/free-fluctuating-allomorph-pair,edge-cases/loader-default-symbol,edge-cases/loader-isactive,edge-cases/loader-isactive-breadth,edge-cases/loader-pattern-shapes,edge-cases/morphotactic-attribute-breadth,edge-cases/mpr-gated-exception,edge-cases/mpr-group-overwrite-without-realizational,edge-cases/mpr-overwrite-order-dependence,edge-cases/process-morphology-in-place-mutation,edge-cases/right-to-left-anchor-environment,edge-cases/stem-name-restricted-root-allomorph,edge-cases/strrep-identity,edge-cases/subrule-morphosyntactic-gating,edge-cases/truncate-morphotactic,languages/fusional-realizational-morphology,languages/metathesis-phase-isolation,languages/polysynthetic-stratal-derivation-chain,languages/prefixal-discontinuous-slot-dependency,languages/suffixing-evidential-adjacency-chain,languages/suffixing-extension-slot-ordering,languages/suffixing-vowel-harmony,languages/templatic-root-modification
dtd:element/ComplexFeature	RequiredByDtd	edge-cases/feature-system-breadth	removed 2 <ComplexFeature> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: Reference to undeclared ID is 'cfDecoy'.    at System.Xml.Xml...	ik	ok::AK|ik	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: Reference to undeclared ID is 'cfDecoy'.    at System.Xml.Xml...	edge-cases/feature-system-breadth
dtd:element/CompoundingRule	RequiredByDtd	edge-cases/compounding-breadth	removed 4 <CompoundingRule> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: Reference to undeclared ID is 'crDecoy'.    at System.Xml.Xml...	ka	ok::KA|ka	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: Reference to undeclared ID is 'crDecoy'.    at System.Xml.Xml...	edge-cases/compounding-breadth,languages/fusional-realizational-morphology,languages/polysynthetic-stratal-derivation-chain
dtd:element/CompoundingSubrule	RequiredByDtd	edge-cases/compounding-breadth	removed 4 <CompoundingSubrule> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'CompoundingSubrules' has incomplete co...	ka	ok::KA|ka	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'CompoundingSubrules' has incomplete co...	edge-cases/compounding-breadth,languages/fusional-realizational-morphology,languages/polysynthetic-stratal-derivation-chain
dtd:element/CompoundingSubrules	RequiredByDtd	edge-cases/compounding-breadth	removed 4 <CompoundingSubrules> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'CompoundingRule' has invalid child ele...	ka	ok::KA|ka	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'CompoundingRule' has invalid child ele...	edge-cases/compounding-breadth,languages/fusional-realizational-morphology,languages/polysynthetic-stratal-derivation-chain
dtd:element/CopyFromInput	Evidenced	edge-cases/compounding-breadth	removed 8 <CopyFromInput> element(s)	'katu': ok::KA+TU|katu -> ok::-	katu	ok::KA+TU|katu	Word	ok::-	edge-cases/compounding-breadth,edge-cases/diacritic-segments,edge-cases/disjunctive-recheck,edge-cases/feature-gating-breadth,edge-cases/feature-system-breadth,edge-cases/free-fluctuating-allomorph-pair,edge-cases/loader-isactive-breadth,edge-cases/morphotactic-attribute-breadth,edge-cases/mpr-gated-exception,edge-cases/mpr-group-overwrite-without-realizational,edge-cases/mpr-overwrite-order-dependence,edge-cases/stem-name-restricted-root-allomorph,edge-cases/strrep-identity,edge-cases/subrule-morphosyntactic-gating,edge-cases/truncate-morphotactic,languages/fusional-realizational-morphology,languages/metathesis-phase-isolation,languages/polysynthetic-stratal-derivation-chain,languages/prefixal-discontinuous-slot-dependency,languages/suffixing-evidential-adjacency-chain,languages/suffixing-extension-slot-ordering,languages/suffixing-vowel-harmony,languages/templatic-root-modification
dtd:element/Environment	Evidenced	edge-cases/mpr-gated-exception	removed 3 <Environment> element(s)	'tulik': ok::TULIK|tulik -> ok::-	tulik	ok::TULIK|tulik	Word	ok::-	edge-cases/mpr-gated-exception,edge-cases/right-to-left-anchor-environment,languages/metathesis-phase-isolation,languages/polysynthetic-stratal-derivation-chain,languages/templatic-root-modification
dtd:element/ExcludedEnvironments	Evidenced	edge-cases/feature-system-breadth	removed 1 <ExcludedEnvironments> element(s)	'salk': ok::- -> ok::SAL+SUF|salk	salk	ok::-	Word	ok::SAL+SUF|salk	edge-cases/feature-system-breadth
dtd:element/Families	RequiredByDtd	edge-cases/loader-isactive-breadth	removed 1 <Families> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: Reference to undeclared ID is 'famDecoy'.    at System.Xml.Xm...	kul	ok::KUL|kul	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: Reference to undeclared ID is 'famDecoy'.    at System.Xml.Xm...	edge-cases/loader-isactive-breadth,edge-cases/morphotactic-attribute-breadth,languages/fusional-realizational-morphology,languages/suffixing-extension-slot-ordering
dtd:element/Family	RequiredByDtd	edge-cases/loader-isactive-breadth	removed 2 <Family> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: Reference to undeclared ID is 'famDecoy'.    at System.Xml.Xm...	kul	ok::KUL|kul	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: Reference to undeclared ID is 'famDecoy'.    at System.Xml.Xm...	edge-cases/loader-isactive-breadth,edge-cases/morphotactic-attribute-breadth,languages/fusional-realizational-morphology,languages/suffixing-extension-slot-ordering
dtd:element/FeatureNaturalClass	RequiredByDtd	edge-cases/compounding-breadth	removed 1 <FeatureNaturalClass> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'NaturalClasses' has incomplete content...	ka	ok::KA|ka	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'NaturalClasses' has incomplete content...	edge-cases/compounding-breadth,edge-cases/diacritic-segments,edge-cases/disjunctive-recheck,edge-cases/feature-gating-breadth,edge-cases/feature-system-breadth,edge-cases/free-fluctuating-allomorph-pair,edge-cases/loader-default-symbol,edge-cases/loader-isactive,edge-cases/loader-isactive-breadth,edge-cases/morphotactic-attribute-breadth,edge-cases/mpr-gated-exception,edge-cases/mpr-group-overwrite-without-realizational,edge-cases/mpr-overwrite-order-dependence,edge-cases/process-morphology-in-place-mutation,edge-cases/stem-name-restricted-root-allomorph,edge-cases/strrep-identity,edge-cases/subrule-morphosyntactic-gating,edge-cases/truncate-morphotactic,languages/fusional-realizational-morphology,languages/metathesis-phase-isolation,languages/polysynthetic-stratal-derivation-chain,languages/prefixal-discontinuous-slot-dependency,languages/suffixing-evidential-adjacency-chain,languages/suffixing-extension-slot-ordering,languages/suffixing-vowel-harmony,languages/templatic-root-modification
dtd:element/FeatureValue	Evidenced	edge-cases/alpha-variable-name-collision	removed 8 <FeatureValue> element(s)	'au': ok::- -> ok::AU|[iyau][iyau]	au	ok::-	Word	ok::AU|[iyau][iyau]	edge-cases/alpha-variable-name-collision,edge-cases/disjunctive-recheck,edge-cases/free-fluctuating-allomorph-pair,edge-cases/loader-default-symbol,edge-cases/loader-isactive,edge-cases/mpr-gated-exception,edge-cases/right-to-left-anchor-environment,edge-cases/subrule-morphosyntactic-gating,edge-cases/truncate-morphotactic,languages/metathesis-phase-isolation,languages/polysynthetic-stratal-derivation-chain
dtd:element/FootFeatures	RequiredByDtd	edge-cases/compounding-breadth	removed 1 <FootFeatures> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: Reference to undeclared ID is 'clsB'.    at System.Xml.XmlVal...	ka	ok::KA|ka	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: Reference to undeclared ID is 'clsB'.    at System.Xml.XmlVal...	edge-cases/compounding-breadth,edge-cases/feature-gating-breadth,languages/suffixing-extension-slot-ordering
dtd:element/Gloss	Unobservable	edge-cases/alpha-variable-name-collision	removed 1 <Gloss> element(s)	all 2 word(s) unchanged	-	-	None	-	edge-cases/alpha-variable-name-collision,edge-cases/bistratal-overlapping-segment-representation,edge-cases/compounding-breadth,edge-cases/diacritic-segments,edge-cases/disjunctive-recheck,edge-cases/feature-gating-breadth,edge-cases/feature-system-breadth,edge-cases/free-fluctuating-allomorph-pair,edge-cases/loader-default-symbol,edge-cases/loader-isactive,edge-cases/loader-isactive-breadth,edge-cases/loader-pattern-shapes,edge-cases/morphotactic-attribute-breadth,edge-cases/mpr-gated-exception,edge-cases/mpr-group-overwrite-without-realizational,edge-cases/mpr-overwrite-order-dependence,edge-cases/process-morphology-in-place-mutation,edge-cases/right-to-left-anchor-environment,edge-cases/stem-name-restricted-root-allomorph,edge-cases/strrep-identity,edge-cases/subrule-morphosyntactic-gating,edge-cases/truncate-morphotactic,languages/fusional-realizational-morphology,languages/metathesis-phase-isolation,languages/polysynthetic-stratal-derivation-chain,languages/prefixal-discontinuous-slot-dependency,languages/suffixing-evidential-adjacency-chain,languages/suffixing-extension-slot-ordering,languages/suffixing-vowel-harmony,languages/templatic-root-modification
dtd:element/HeadFeatures	RequiredByDtd	edge-cases/compounding-breadth	removed 1 <HeadFeatures> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: Reference to undeclared ID is 'numSg'.    at System.Xml.XmlVa...	ka	ok::KA|ka	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: Reference to undeclared ID is 'numSg'.    at System.Xml.XmlVa...	edge-cases/compounding-breadth,edge-cases/feature-gating-breadth,edge-cases/feature-system-breadth,edge-cases/morphotactic-attribute-breadth,edge-cases/process-morphology-in-place-mutation,edge-cases/stem-name-restricted-root-allomorph,languages/fusional-realizational-morphology,languages/suffixing-extension-slot-ordering,languages/templatic-root-modification
dtd:element/HeadMorphologicalInput	RequiredByDtd	edge-cases/compounding-breadth	removed 4 <HeadMorphologicalInput> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'CompoundingSubrule' has invalid child ...	ka	ok::KA|ka	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'CompoundingSubrule' has invalid child ...	edge-cases/compounding-breadth,languages/fusional-realizational-morphology,languages/polysynthetic-stratal-derivation-chain
dtd:element/HeadRequiredFootFeatures	Evidenced	edge-cases/compounding-breadth	removed 2 <HeadRequiredFootFeatures> element(s)	'patu': ok::- -> ok::PA+TU|patu	patu	ok::-	Word	ok::PA+TU|patu	edge-cases/compounding-breadth
dtd:element/HeadRequiredHeadFeatures	Evidenced	edge-cases/compounding-breadth	removed 2 <HeadRequiredHeadFeatures> element(s)	'kutu': ok::- -> ok::KU+TU|kutu	kutu	ok::-	Word	ok::KU+TU|kutu	edge-cases/compounding-breadth
dtd:element/HermitCrabInput	RequiredByDtd	edge-cases/alpha-variable-name-collision	removed 1 <HermitCrabInput> element(s)	InvalidOperationException: Token EndDocument in state Document would result in an invalid XML document.	au	ok::-	LoadFailure	InvalidOperationException: Token EndDocument in state Document would result in an invalid XML document.	edge-cases/alpha-variable-name-collision,edge-cases/bistratal-overlapping-segment-representation,edge-cases/compounding-breadth,edge-cases/diacritic-segments,edge-cases/disjunctive-recheck,edge-cases/feature-gating-breadth,edge-cases/feature-system-breadth,edge-cases/free-fluctuating-allomorph-pair,edge-cases/loader-default-symbol,edge-cases/loader-isactive,edge-cases/loader-isactive-breadth,edge-cases/loader-pattern-shapes,edge-cases/morphotactic-attribute-breadth,edge-cases/mpr-gated-exception,edge-cases/mpr-group-overwrite-without-realizational,edge-cases/mpr-overwrite-order-dependence,edge-cases/process-morphology-in-place-mutation,edge-cases/right-to-left-anchor-environment,edge-cases/stem-name-restricted-root-allomorph,edge-cases/strrep-identity,edge-cases/subrule-morphosyntactic-gating,edge-cases/truncate-morphotactic,languages/fusional-realizational-morphology,languages/metathesis-phase-isolation,languages/polysynthetic-stratal-derivation-chain,languages/prefixal-discontinuous-slot-dependency,languages/suffixing-evidential-adjacency-chain,languages/suffixing-extension-slot-ordering,languages/suffixing-vowel-harmony,languages/templatic-root-modification
dtd:element/InsertSegments	Evidenced	edge-cases/diacritic-segments	removed 2 <InsertSegments> element(s)	'año': ok::YEAR|año -> ok::YEAR+DIM|año;YEAR+PL|año;YEAR|año	año	ok::YEAR|año	Word	ok::YEAR+DIM|año;YEAR+PL|año;YEAR|año	edge-cases/diacritic-segments,edge-cases/disjunctive-recheck,edge-cases/feature-gating-breadth,edge-cases/feature-system-breadth,edge-cases/free-fluctuating-allomorph-pair,edge-cases/loader-isactive-breadth,edge-cases/mpr-gated-exception,edge-cases/mpr-group-overwrite-without-realizational,edge-cases/mpr-overwrite-order-dependence,edge-cases/stem-name-restricted-root-allomorph,edge-cases/strrep-identity,edge-cases/truncate-morphotactic,languages/metathesis-phase-isolation,languages/polysynthetic-stratal-derivation-chain,languages/prefixal-discontinuous-slot-dependency,languages/suffixing-vowel-harmony,languages/templatic-root-modification
dtd:element/InsertSimpleContext	Evidenced	languages/templatic-root-modification	removed 1 <InsertSimpleContext> element(s)	'spr': ok::SPR|spr -> ok::SPR+FORMII|spr;SPR|spr	spr	ok::SPR|spr	Word	ok::SPR+FORMII|spr;SPR|spr	languages/templatic-root-modification
dtd:element/Language	RequiredByDtd	edge-cases/alpha-variable-name-collision	removed 1 <Language> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'HermitCrabInput' has incomplete conten...	au	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'HermitCrabInput' has incomplete conten...	edge-cases/alpha-variable-name-collision,edge-cases/bistratal-overlapping-segment-representation,edge-cases/compounding-breadth,edge-cases/diacritic-segments,edge-cases/disjunctive-recheck,edge-cases/feature-gating-breadth,edge-cases/feature-system-breadth,edge-cases/free-fluctuating-allomorph-pair,edge-cases/loader-default-symbol,edge-cases/loader-isactive,edge-cases/loader-isactive-breadth,edge-cases/loader-pattern-shapes,edge-cases/morphotactic-attribute-breadth,edge-cases/mpr-gated-exception,edge-cases/mpr-group-overwrite-without-realizational,edge-cases/mpr-overwrite-order-dependence,edge-cases/process-morphology-in-place-mutation,edge-cases/right-to-left-anchor-environment,edge-cases/stem-name-restricted-root-allomorph,edge-cases/strrep-identity,edge-cases/subrule-morphosyntactic-gating,edge-cases/truncate-morphotactic,languages/fusional-realizational-morphology,languages/metathesis-phase-isolation,languages/polysynthetic-stratal-derivation-chain,languages/prefixal-discontinuous-slot-dependency,languages/suffixing-evidential-adjacency-chain,languages/suffixing-extension-slot-ordering,languages/suffixing-vowel-harmony,languages/templatic-root-modification
dtd:element/LeftEnvironment	Evidenced	edge-cases/diacritic-segments	removed 1 <LeftEnvironment> element(s)	'añota': ok::- -> ok::YEAR+DIM|añota	añota	ok::-	Word	ok::YEAR+DIM|añota	edge-cases/diacritic-segments,edge-cases/disjunctive-recheck,edge-cases/feature-system-breadth,edge-cases/mpr-gated-exception,edge-cases/right-to-left-anchor-environment,languages/polysynthetic-stratal-derivation-chain,languages/suffixing-evidential-adjacency-chain,languages/suffixing-vowel-harmony,languages/templatic-root-modification
dtd:element/LexicalEntries	Evidenced	edge-cases/alpha-variable-name-collision	removed 1 <LexicalEntries> element(s)	'ia': ok::AU|ia -> ok::-	ia	ok::AU|ia	Word	ok::-	edge-cases/alpha-variable-name-collision,edge-cases/bistratal-overlapping-segment-representation,edge-cases/compounding-breadth,edge-cases/diacritic-segments,edge-cases/disjunctive-recheck,edge-cases/feature-gating-breadth,edge-cases/feature-system-breadth,edge-cases/free-fluctuating-allomorph-pair,edge-cases/loader-default-symbol,edge-cases/loader-isactive,edge-cases/loader-isactive-breadth,edge-cases/loader-pattern-shapes,edge-cases/mpr-gated-exception,edge-cases/mpr-group-overwrite-without-realizational,edge-cases/mpr-overwrite-order-dependence,edge-cases/process-morphology-in-place-mutation,edge-cases/right-to-left-anchor-environment,edge-cases/stem-name-restricted-root-allomorph,edge-cases/strrep-identity,edge-cases/subrule-morphosyntactic-gating,edge-cases/truncate-morphotactic,languages/fusional-realizational-morphology,languages/metathesis-phase-isolation,languages/polysynthetic-stratal-derivation-chain,languages/prefixal-discontinuous-slot-dependency,languages/suffixing-extension-slot-ordering,languages/suffixing-vowel-harmony
