# GENERATED by hc-conformance --write-gate-obligations. One row per (gate, arm) pair, gate
# ranging over all 23 SIL.Machine.Morphology.HermitCrab.FailureReason members (excluding None)
# and arm in {Blocked, Control} -- the two arms MC/DC demands for each of the engine's own
# decision points, as opposed to conformance/dataflow-obligations.tsv's DTD-attribute-pair
# denominator (kept, not superseded -- see conformance/docs/how-it-is-computed.md). xml_reachable
# and flex_producible are the two layer verdicts a gate must clear to be worth_covering;
# status is Evidenced only for a same-word severance flip whose baseline trace names the gate
# directly (Blocked) or a same-fixture rule-id match proving the gated rule fires successfully
# elsewhere (Control); evidence always names which layer or mechanism blocks an unevidenced cell
# rather than collapsing to a bare "Unknown".
gate	arm	xml_reachable	flex_producible	worth_covering	status	fixture	word	evidence
ExcludedStemName	Blocked	Yes	Yes	Yes	Evidenced	languages/fusional-realizational-morphology	muno	severing Allomorph.stemName in languages/fusional-realizational-morphology flips 'muno' from ok::- to ok::STEM+P1|muno (conformance/interface-witness.tsv or a fresh equivalent severance run), and 'muno''s own baseline trace names ExcludedStemName directly (this ledger's own traced sweep)
ExcludedStemName	Control	Yes	Yes	Yes	NotEvidenced	-	-	Allomorph is not a rule element GrammarRuleIndex resolves to a fired-rule id -- allomorph, co-occurrence, and template/slot constructs have no "Applied" trace event to check against (the same gap FailureRuleAttributor's own doc comment records for allomorph identity)
HeadPattern	Blocked	Yes	Yes	Yes	NotEvidenced	-	-	gate never witnessed by any fixture in the current corpus (conformance/engine-gate-inventory.tsv: status=Unreached) -- no candidate word exists to evidence either arm
HeadPattern	Control	Yes	Yes	Yes	NotEvidenced	-	-	gate never witnessed by any fixture in the current corpus (conformance/engine-gate-inventory.tsv: status=Unreached) -- no candidate word exists to evidence either arm
HeadProdRestrictMprFeatures	Blocked	Yes	Yes	Yes	Evidenced	languages/fusional-realizational-morphology	seclav	severing CompoundingRule.headProdRestrictionsMprFeatures in languages/fusional-realizational-morphology flips 'seclav' from ok::- to ok::SEC+LAV|sec+?lav (conformance/interface-witness.tsv or a fresh equivalent severance run), and 'seclav''s own baseline trace names HeadProdRestrictMprFeatures directly (this ledger's own traced sweep)
HeadProdRestrictMprFeatures	Control	Yes	Yes	Yes	Evidenced	languages/fusional-realizational-morphology	mitlav	rule 'mrCompoundConstrained' (CompoundingRule) also fires in a successful parse of 'mitlav' in languages/fusional-realizational-morphology (TraceRuleAttributor over this ledger's own baseline sweep), proving it can apply outside the blocked condition
HeadRequiredSyntacticFeatureStruct	Blocked	Yes	Yes	Yes	Evidenced	languages/polysynthetic-stratal-derivation-chain	silaaku	severing CompoundingRule.headPartsOfSpeech in languages/polysynthetic-stratal-derivation-chain flips 'silaaku' from ok::- to ok::SILA+AKU|sila+?aku;SILA+AKU|sila+?aku (conformance/interface-witness.tsv or a fresh equivalent severance run), and 'silaaku''s own baseline trace names HeadRequiredSyntacticFeatureStruct directly (this ledger's own traced sweep)
HeadRequiredSyntacticFeatureStruct	Control	Yes	Yes	Yes	Evidenced	languages/polysynthetic-stratal-derivation-chain	akutat	rule 'mrCompoundHN' (CompoundingRule) also fires in a successful parse of 'akutat' in languages/polysynthetic-stratal-derivation-chain (TraceRuleAttributor over this ledger's own baseline sweep), proving it can apply outside the blocked condition
MaxApplicationCount	Blocked	Yes	Yes	Yes	NotEvidenced	-	-	no severance of {MorphologicalRule.multipleApplication, CompoundingRule.multipleApplication} across {edge-cases/feature-gating-breadth, languages/fusional-realizational-morphology, languages/suffixing-extension-slot-ordering} produced a same-word fail-to-pass flip whose baseline trace also names MaxApplicationCount -- the gate may only fire as noise against a candidate unrelated to the word's final result (see FailureRuleAttributor's own doc comment)
MaxApplicationCount	Control	Yes	Yes	Yes	NotEvidenced	-	-	Blocked arm unevidenced; Control arm requires a confirmed blocking instance to identify which rule to check
MorphemeCoOccurrenceRules	Blocked	Yes	Yes	Yes	NotEvidenced	-	-	no severance of {MorphemeCoOccurrenceRule.primaryMorpheme} across {languages/suffixing-evidential-adjacency-chain, languages/templatic-root-modification} produced a same-word fail-to-pass flip whose baseline trace also names MorphemeCoOccurrenceRules -- the gate may only fire as noise against a candidate unrelated to the word's final result (see FailureRuleAttributor's own doc comment)
MorphemeCoOccurrenceRules	Control	Yes	Yes	Yes	NotEvidenced	-	-	Blocked arm unevidenced; Control arm requires a confirmed blocking instance to identify which rule to check
NonHeadPattern	Blocked	Yes	Yes	Yes	NotEvidenced	-	-	gate never witnessed by any fixture in the current corpus (conformance/engine-gate-inventory.tsv: status=Unreached) -- no candidate word exists to evidence either arm
NonHeadPattern	Control	Yes	Yes	Yes	NotEvidenced	-	-	gate never witnessed by any fixture in the current corpus (conformance/engine-gate-inventory.tsv: status=Unreached) -- no candidate word exists to evidence either arm
NonHeadProdRestrictMprFeatures	Blocked	Yes	Yes	Yes	NotEvidenced	-	-	gate never witnessed by any fixture in the current corpus (conformance/engine-gate-inventory.tsv: status=Unreached) -- no candidate word exists to evidence either arm
NonHeadProdRestrictMprFeatures	Control	Yes	Yes	Yes	NotEvidenced	-	-	gate never witnessed by any fixture in the current corpus (conformance/engine-gate-inventory.tsv: status=Unreached) -- no candidate word exists to evidence either arm
NonHeadRequiredSyntacticFeatureStruct	Blocked	Yes	Yes	Yes	NotEvidenced	-	-	gate never witnessed by any fixture in the current corpus (conformance/engine-gate-inventory.tsv: status=Unreached) -- no candidate word exists to evidence either arm
NonHeadRequiredSyntacticFeatureStruct	Control	Yes	Yes	Yes	NotEvidenced	-	-	gate never witnessed by any fixture in the current corpus (conformance/engine-gate-inventory.tsv: status=Unreached) -- no candidate word exists to evidence either arm
NonPartialRuleProhibitedAfterFinalTemplate	Blocked	Yes	Yes	Yes	NotEvidenced	-	-	no severance of {AffixTemplate.final, MorphologicalRule.partial} across {edge-cases/disjunctive-recheck, edge-cases/free-fluctuating-allomorph-pair, edge-cases/mpr-gated-exception, edge-cases/mpr-overwrite-order-dependence, edge-cases/process-morphology-in-place-mutation, edge-cases/stem-name-restricted-root-allomorph, edge-cases/strrep-identity, edge-cases/truncate-morphotactic, languages/fusional-realizational-morphology, languages/metathesis-phase-isolation, languages/polysynthetic-stratal-derivation-chain, languages/suffixing-vowel-harmony, languages/templatic-root-modification} produced a same-word fail-to-pass flip whose baseline trace also names NonPartialRuleProhibitedAfterFinalTemplate -- the gate may only fire as noise against a candidate unrelated to the word's final result (see FailureRuleAttributor's own doc comment)
NonPartialRuleProhibitedAfterFinalTemplate	Control	Yes	Yes	Yes	NotEvidenced	-	-	Blocked arm unevidenced; Control arm requires a confirmed blocking instance to identify which rule to check
NonPartialRuleRequiredAfterNonFinalTemplate	Blocked	Yes	Yes	Yes	NotEvidenced	-	-	gate never witnessed by any fixture in the current corpus (conformance/engine-gate-inventory.tsv: status=Unreached) -- no candidate word exists to evidence either arm
NonPartialRuleRequiredAfterNonFinalTemplate	Control	Yes	Yes	Yes	NotEvidenced	-	-	gate never witnessed by any fixture in the current corpus (conformance/engine-gate-inventory.tsv: status=Unreached) -- no candidate word exists to evidence either arm
ObligatorySyntacticFeatures	Blocked	Yes	No	No	NotEvidenced	-	-	not worth covering: flex_producible=No -- FieldWorks' HCLoader never sets AffixProcessRule/CompoundingRule.ObligatorySyntacticFeatures for any construct FLEx exposes -- conformance/fieldworks-producibility.tsv
ObligatorySyntacticFeatures	Control	Yes	No	No	NotEvidenced	-	-	not worth covering: flex_producible=No -- FieldWorks' HCLoader never sets AffixProcessRule/CompoundingRule.ObligatorySyntacticFeatures for any construct FLEx exposes -- conformance/fieldworks-producibility.tsv
PartialParse	Blocked	Yes	Yes	Yes	Evidenced	edge-cases/morphotactic-attribute-breadth	kulpu	severing AffixTemplate.final in edge-cases/morphotactic-attribute-breadth flips 'kulpu' from ok::- to ok::KUL+NF|kulpu (conformance/interface-witness.tsv or a fresh equivalent severance run), and 'kulpu''s own baseline trace names PartialParse directly (this ledger's own traced sweep)
PartialParse	Control	Yes	Yes	Yes	NotEvidenced	-	-	AffixTemplate is not a rule element GrammarRuleIndex resolves to a fired-rule id -- allomorph, co-occurrence, and template/slot constructs have no "Applied" trace event to check against (the same gap FailureRuleAttributor's own doc comment records for allomorph identity)
Pattern	Blocked	Yes	Yes	Yes	NotEvidenced	-	-	xml_reachable=Yes via element content, not an attribute -- no isolable severance primitive exists in this ledger for a bare element-content construct yet (conformance/docs/how-it-is-computed.md's gate-obligations section)
Pattern	Control	Yes	Yes	Yes	NotEvidenced	-	-	xml_reachable=Yes via element content, not an attribute -- no isolable severance primitive exists in this ledger for a bare element-content construct yet (conformance/docs/how-it-is-computed.md's gate-obligations section)
RequiredMprFeatures	Blocked	Yes	Yes	Yes	Evidenced	edge-cases/mpr-group-overwrite-without-realizational	wudofq	severing MorphologicalInput.requiredMPRFeatures in edge-cases/mpr-group-overwrite-without-realizational flips 'wudofq' from ok::- to ok::THEMEB+THEMEA+DOF+ENDC|wudofq (conformance/interface-witness.tsv or a fresh equivalent severance run), and 'wudofq''s own baseline trace names RequiredMprFeatures directly (this ledger's own traced sweep)
RequiredMprFeatures	Control	Yes	Yes	Yes	NotEvidenced	-	-	MorphologicalInput is not a rule element GrammarRuleIndex resolves to a fired-rule id -- allomorph, co-occurrence, and template/slot constructs have no "Applied" trace event to check against (the same gap FailureRuleAttributor's own doc comment records for allomorph identity)
RequiredStemName	Blocked	Yes	Yes	Yes	Evidenced	edge-cases/stem-name-restricted-root-allomorph	kap	severing Allomorph.stemName in edge-cases/stem-name-restricted-root-allomorph flips 'kap' from ok::- to ok::ROOT|kap (conformance/interface-witness.tsv or a fresh equivalent severance run), and 'kap''s own baseline trace names RequiredStemName directly (this ledger's own traced sweep)
RequiredStemName	Control	Yes	Yes	Yes	NotEvidenced	-	-	Allomorph is not a rule element GrammarRuleIndex resolves to a fired-rule id -- allomorph, co-occurrence, and template/slot constructs have no "Applied" trace event to check against (the same gap FailureRuleAttributor's own doc comment records for allomorph identity)
RequiredSyntacticFeatureStruct	Blocked	Yes	Yes	Yes	Evidenced	languages/metathesis-phase-isolation	idil	severing PhonologicalSubrule.requiredPartsOfSpeech in languages/metathesis-phase-isolation flips 'idil' from ok::- to ok::ADIL|idil (conformance/interface-witness.tsv or a fresh equivalent severance run), and 'idil''s own baseline trace names RequiredSyntacticFeatureStruct directly (this ledger's own traced sweep)
RequiredSyntacticFeatureStruct	Control	Yes	Yes	Yes	NotEvidenced	-	-	PhonologicalSubrule is not a rule element GrammarRuleIndex resolves to a fired-rule id -- allomorph, co-occurrence, and template/slot constructs have no "Applied" trace event to check against (the same gap FailureRuleAttributor's own doc comment records for allomorph identity)
SurfaceFormMismatch	Blocked	No	Yes	No	NotEvidenced	-	-	not worth covering: xml_reachable=No -- pure engine-internal reconstruction check (Morpher.cs's confirming-synthesis IsMatch) with no grammar attribute or element input at all -- see EngineGateInventoryLedger.DtdAttributes
SurfaceFormMismatch	Control	No	Yes	No	NotEvidenced	-	-	not worth covering: xml_reachable=No -- pure engine-internal reconstruction check (Morpher.cs's confirming-synthesis IsMatch) with no grammar attribute or element input at all -- see EngineGateInventoryLedger.DtdAttributes
