# GENERATED by hc-conformance --write-engine-gate-inventory. One row per SIL.Machine.Morphology.
# HermitCrab.FailureReason member (excluding None) -- HermitCrab's OWN enumeration of the
# decisions it makes when declining to apply or unapply something, kept alongside (never
# instead of) conformance/dataflow-obligations.tsv's DTD-attribute-pair denominator, because
# the engine's own enum draws different lines than the schema does: it separates gates the DTD
# fuses into one attribute and names several gates no DTD attribute pair expresses at all.
# raise_sites is mechanically scanned (RaiseSiteScanner); dtd_attributes is hand-verified
# against XmlLanguageLoader.cs (see EngineGateInventoryLedger.DtdAttributes' own doc comment) and
# '-' is a genuine finding for six gates, not a placeholder. triggered_by_fixtures/
# triggering_words/status come from EngineGateWitnessSweep, an ACTUAL traced engine run over
# every non-pathological, non-crash fixture -- status is Witnessed iff some word's trace tree
# contains this FailureReason anywhere, a materially WEAKER claim than a dataflow-obligation
# cell's same-word pair witness (see this file's own doc comment, and conformance/docs/
# how-it-is-computed.md, for why the two are not comparable strength).
gate	raise_sites	dtd_attributes	triggered_by_fixtures	triggering_words	status
MorphemeCoOccurrenceRules	Allomorph.cs:193	MorphemeCoOccurrenceRule.primaryMorpheme	languages/suffixing-evidential-adjacency-chain;languages/templatic-root-modification	samm;sipulupachikmi;siputuku;walaknichikwas;walaknkicha;walakntan	Witnessed
NonHeadPattern	SynthesisCompoundingRule.cs:215	-	-	-	Unreached
NonHeadProdRestrictMprFeatures	AnalysisCompoundingRule.cs:90	CompoundingRule.nonHeadProdRestrictionsMprFeatures	-	-	Unreached
NonHeadRequiredSyntacticFeatureStruct	SynthesisCompoundingRule.cs:93	CompoundingRule.nonHeadPartsOfSpeech	-	-	Unreached
NonPartialRuleProhibitedAfterFinalTemplate	SynthesisAffixProcessRule.cs:76;SynthesisCompoundingRule.cs:73	AffixTemplate.final;MorphologicalRule.partial	edge-cases/disjunctive-recheck;edge-cases/free-fluctuating-allomorph-pair;edge-cases/mpr-gated-exception;edge-cases/mpr-overwrite-order-dependence;edge-cases/process-morphology-in-place-mutation;edge-cases/stem-name-restricted-root-allomorph;edge-cases/strrep-identity;edge-cases/truncate-morphotactic;languages/fusional-realizational-morphology;languages/metathesis-phase-isolation;languages/polysynthetic-stratal-derivation-chain;languages/suffixing-vowel-harmony;languages/templatic-root-modification	a;ag;akutat;as;bahain;benox;corriv;daboxayu;daboxayuzi;daboyuxa;daboyuxazi;ducit;ducunt;esalik;etemik;femopiqu;femopiquvo;femoqupi;femoqupivo;feres;feresid;ficlav;gas;gbubibi;gelobt;gelobth;genlav;gigigi;gigugi;guan;halaku;hilaka;hilaki;hilaku;hulaka;hulaki;hulaku;iktub;imat;ipat;kalitin;kalutun;kapom;kapur;kataba;katabit;katabt;katabɯd;katibɯd;keadilan;kits;kots;lexbedom;lexdom;lobh;man;mano;mans;mant;mat;membalo;menanukam;mentanukam;menulik;mino;mins;mint;mitlav;mu+i;mumat;muno;muns;munt;mupat;muuta;mwuta;ndmat;ndpat;nunaliq;nunaliqvuq;nunavuq;pakda;pakza;pannox;pat;pitat;pitda;pitza;pui;pur;pure;qil;sa;samm;sang;sanitan;sapr;satun;seclav;setin;silamanuk;silanuk;sueb;sueeb;sumulat;takuvuq;tamom;tamur;tulatula;tutula;uta;vinc;vokadan;vokadi;wakta;wokta	Witnessed
NonPartialRuleRequiredAfterNonFinalTemplate	SynthesisAffixProcessRule.cs:99	AffixTemplate.final;MorphologicalRule.partial	-	-	Unreached
ObligatorySyntacticFeatures	Morpher.cs:613	MorphologicalRule.outputObligatoryFeatures;CompoundingRule.outputObligatoryFeatures	-	-	Unreached
PartialParse	Morpher.cs:599;SynthesisStratumRule.cs:72;TraceManager.cs:151;TraceManager.cs:162	Slot.optional;AffixTemplate.final	edge-cases/compounding-breadth;edge-cases/diacritic-segments;edge-cases/disjunctive-recheck;edge-cases/feature-gating-breadth;edge-cases/feature-system-breadth;edge-cases/free-fluctuating-allomorph-pair;edge-cases/loader-isactive-breadth;edge-cases/morphotactic-attribute-breadth;edge-cases/mpr-gated-exception;edge-cases/mpr-group-overwrite-without-realizational;edge-cases/mpr-overwrite-order-dependence;edge-cases/process-morphology-in-place-mutation;edge-cases/stem-name-restricted-root-allomorph;edge-cases/strrep-identity;edge-cases/subrule-morphosyntactic-gating;edge-cases/truncate-morphotactic;languages/fusional-realizational-morphology;languages/metathesis-phase-isolation;languages/polysynthetic-stratal-derivation-chain;languages/prefixal-discontinuous-slot-dependency;languages/suffixing-evidential-adjacency-chain;languages/suffixing-extension-slot-ordering;languages/suffixing-vowel-harmony;languages/templatic-root-modification	a;ag;akutat;andik;andika;andikila;andikilisha;andikisha;andikishila;as;años;añota;bahain;bak;bakgi;bat;belh;belw;benox;bishiwodkal;bishiyidkal;cafés;caféta;corriv;dabep;dabepez;dabez;daboxayu;daboxayuzi;daboyuxa;daboyuxazi;daheh;daleh;dalehiz;dalizeh;dom;ducit;ducunt;esalik;etemik;femopiqu;femopiquvo;femoqupi;femoqupivo;feres;feresid;ficlav;gabishiyidkal;gas;gbubibi;gelobt;gelobth;genlav;gigigi;gigugi;gofwh;gofz;gofzw;guan;göls;gölta;halaku;hilaka;hilaki;hilaku;hogabishiyidkal;hulaka;hulaki;hulaku;ikt;iktub;imat;ipat;itk;kal;kalitin;kalka;kalkano;kalmuid;kalutun;kantancha;kantay;kapom;kapur;kataba;katabit;katabt;katabɯd;kath;katibɯd;katu;katw;keadilan;kelîs;kelîta;kesepez;kesez;kibh;kibw;kimbiakimbia;kits;kots;kul;kulbubidu;kulde;kuldede;kulgi;kulgimo;kulmo;kulmoru;kulpu;kulru;kur;kutagida;kutagila;kutak;kutakler;kutu;lexbedom;lexdom;limaile;limape;limapeile;limh;limw;lisez;lobh;man;mano;mans;mant;mat;membalo;menanukam;mentanukam;menulik;mino;mins;mint;mitlav;mo+kul;molka;mu+i;mumat;muno;muns;munt;mupat;muuta;mwuta;nalh;nalno;nalnomu;nalw;napmo;nbael;ndmat;ndpat;npael;nunaliq;nunaliqvuq;nunavuq;pakda;pakza;pannox;pat;patu;pitat;pitda;pitza;pogli;pogliti;pogti;pui;pur;pure;qil;rog;sa;salk;samm;sang;sanitan;sapr;satun;seclav;sekhw;sekwh;sekwz;sekzw;semitide;semitideler;semitile;setin;silamanuk;silanuk;siliz;siliziz;sim;simru;sipulupachikmi;sipulupami;sipun;sipuncha;siputuku;siputukuchikmi;siputukumi;sipuy;sipuymi;sodh;sodw;sol;sueb;sueeb;sumulat;takincha;takiy;takul;takuvuq;tamom;tamur;tik;top;topdo;topdori;topri;topsakanabu;topsakatana;tulatula;tunka;tupay;tutula;udof;udofq;unitide;uta;vinc;vokadan;vokadi;wakta;walakchik;walakni;walaknichik;walaknichiktan;walaknichikwas;walaknitan;walakniwas;walaknki;walaknkicha;walaknkichikmi;walaknkishi;walaknkisi;walakntan;walaky;wokta;wudof;wudofq;xkib;xkibz;xped;xpedz;ygofz;yxkib;yxkibz;yxped;yxpedz;zamed;zimed	Witnessed
Pattern	SynthesisAffixProcessRule.cs:231;SynthesisMetathesisRule.cs:52;SynthesisRealizationalAffixProcessRule.cs:179;SynthesisRewriteRule.cs:82	-	edge-cases/feature-system-breadth;edge-cases/loader-default-symbol;edge-cases/mpr-gated-exception;edge-cases/process-morphology-in-place-mutation;edge-cases/right-to-left-anchor-environment;edge-cases/strrep-identity;languages/metathesis-phase-isolation;languages/polysynthetic-stratal-derivation-chain;languages/suffixing-extension-slot-ordering;languages/suffixing-vowel-harmony;languages/templatic-root-modification	a;aa;aaa;aae;ae;ak;andika;andikila;andikilisha;andikisha;andikishila;ask;at;balo;bat;bel;belh;bubu;buibu;buiibuii;buuubuuu;dabez;daleh;dalizeh;duii;duy;esalik;etemik;gan;gigigi;gigugi;gigugu;guan;halak;halaku;hilaka;hilaki;hilaku;hulaka;hulaki;hulaku;ik;ikt;iktub;imat;ipat;isk;it;itk;ka;kalit;kalitin;kalut;kalutun;katab;kataba;katabit;katabt;kes;kib;kibw;kimbia;kimbiakimbia;ktb;ktl;ktub;kuiikuii;kutagida;kutagila;kuuukuuu;lima;limaile;lisez;mat;matu;mau;mba;membalo;menanukam;mentanukam;menulik;mi;mpa;mu+i;mumat;mupat;nal;nba;ndmat;ndpat;niu;npa;nui;pat;pui;pur;pure;qal;qil;rada;radda;sal;salk;samm;sanit;sanitan;sapr;sat;satun;sek;sekwh;sekzw;semitide;semitideler;semitile;set;setin;siliz;smm;spr;sueb;sueeb;tanuk;tem;ti;tik;tkl;tlk;ts;tulik;unitide;utui;uui;uuu;vokad;vokadi;xkib;xkibz;yxkib;zamed;zimed	Witnessed
RequiredMprFeatures	SynthesisAffixProcessRule.cs:154;SynthesisCompoundingRule.cs:146;SynthesisRealizationalAffixProcessRule.cs:112;SynthesisRewriteSubruleSpec.cs:54	MorphologicalInput.requiredMPRFeatures;HeadMorphologicalInput.requiredMPRFeatures;PhonologicalSubrule.requiredMPRFeatures	edge-cases/mpr-group-overwrite-without-realizational;edge-cases/mpr-overwrite-order-dependence;languages/fusional-realizational-morphology;languages/prefixal-discontinuous-slot-dependency;languages/suffixing-extension-slot-ordering	andik;andika;andikila;andikilisha;andikisha;andikishila;bel;belh;belw;bishiwodkal;dabep;dabepez;dabez;daboxayuzi;daheh;daleh;dalehiz;dalizeh;ficlav;genlav;kath;kes;kesepez;kesez;kib;kibh;kibw;kimbia;kimbiakimbia;lima;limaile;limape;limapeile;limh;limw;lisez;mba;mbe;mpa;mpe;nal;nalh;nalw;nba;nbael;niyidtan;npa;npael;sek;sekhw;sekwh;sekwz;sekzw;siliz;siliziz;sodw;wudofq;xkib;xkibz;ygofz;yxkib;yxkibz;yxpedz;zamed	Witnessed
RequiredStemName	RootAllomorph.cs:68;SynthesisAffixProcessRule.cs:114	Allomorph.stemName;MorphologicalRule.requiredStemName	edge-cases/stem-name-restricted-root-allomorph;languages/fusional-realizational-morphology;languages/suffixing-extension-slot-ordering;languages/templatic-root-modification	daheh;halak;halaku;hilaka;hilaku;hulaka;hulaku;kap;kapur;man;mans;mant;min;mins;mint;mun;muns;munt;tam;tamur	Witnessed
RequiredSyntacticFeatureStruct	AffixProcessAllomorph.cs:96;SynthesisAffixProcessRule.cs:130;SynthesisRealizationalAffixProcessRule.cs:88;SynthesisRewriteSubruleSpec.cs:38	MorphologicalRule.requiredPartsOfSpeech;PhonologicalSubrule.requiredPartsOfSpeech	edge-cases/feature-gating-breadth;edge-cases/mpr-gated-exception;edge-cases/subrule-morphosyntactic-gating;languages/fusional-realizational-morphology;languages/metathesis-phase-isolation;languages/polysynthetic-stratal-derivation-chain;languages/suffixing-extension-slot-ordering;languages/suffixing-vowel-harmony;languages/templatic-root-modification	adil;andika;andikila;andikilisha;andikisha;andikishila;baha;bahain;bat;belh;belw;benox;buiibuii;buuubuuu;dabep;dabepez;dabez;daheh;daleh;dalehiz;dalizeh;duii;duy;esalik;etemik;gigigi;gigugi;gigugu;guan;halak;halaku;hilaka;hilaki;hilaku;hulaka;hulaki;hulaku;idil;iktub;katab;kataba;katabit;katabt;keadilan;kesepez;kesez;kibh;kibw;ktub;kuiikuii;kutagida;kutagila;kuuukuuu;lexbedom;limaile;limape;limapeile;lisez;lobh;man;mbe;mint;molka;mpe;mu+i;nalh;nalw;nba;nbael;npa;npael;nunavuq;pannox;pat;pitat;pui;pur;pure;qal;qil;rada;radda;samm;sanit;sanitan;sapr;sekhw;sekwh;sekwz;sekzw;semitide;semitideler;semitile;silamanuk;siliz;siliziz;smm;spr;sueb;sueeb;sulat;sumulat;tula;tulatula;tunka;tutula;unitide;utui;uui;uuu;vokad;vokadi;zamed;zimed	Witnessed
SurfaceFormMismatch	Morpher.cs:630	-	edge-cases/alpha-variable-name-collision;edge-cases/disjunctive-recheck;edge-cases/feature-gating-breadth;edge-cases/feature-system-breadth;edge-cases/free-fluctuating-allomorph-pair;edge-cases/loader-default-symbol;edge-cases/metathesis-comparison-crash;edge-cases/morphotactic-attribute-breadth;edge-cases/mpr-gated-exception;edge-cases/right-to-left-anchor-environment;edge-cases/stem-name-restricted-root-allomorph;edge-cases/strrep-identity;edge-cases/subrule-morphosyntactic-gating;languages/fusional-realizational-morphology;languages/metathesis-phase-isolation;languages/polysynthetic-stratal-derivation-chain;languages/suffixing-evidential-adjacency-chain;languages/suffixing-extension-slot-ordering;languages/suffixing-vowel-harmony;languages/templatic-root-modification	aa;aaa;ak;ask;au;bak;bakgi;bat;bdt;buibu;buiibuii;dom;ducit;duii;eaaa;eeee;ferid;genlav;gigigi;gigugi;gigugu;gray;grey;halaku;hilaka;hilaki;hulaki;hulaku;idil;ikt;imat;ipat;it;itk;kalid;kalit;kalitin;kantancha;kantay;kap;kapur;katabt;katabɯd;kit;kots;ktl;ktub;kuiikuii;kul;kulbubidu;kulde;kuldede;kulgi;kulgimo;kulmo;kulmoru;kulru;kur;limaile;man;mano;mant;mat;matu;mbe;menanukam;min;mino;mins;mpa;mumat;muno;muns;munt;mupat;muuta;nbael;ndmat;ndpat;niu;npa;pakda;pat;pel;pitza;pol;rada;rog;sim;simru;sueb;sueeb;takiy;takuvuq;tamom;ti;tik;tkl;top;topdo;topri;topsakanabu;topsakatana;uta;utui;uuu;wakta;walaknkishi;walaknkisi;walaky;wok;zamed;zimed	Witnessed
