# GENERATED by conformance/tools/generate-fieldworks-producibility.ps1. One row per subject,
# where subjects are every SIL.Machine.Morphology.HermitCrab.FailureReason enum member (except
# None) plus every (element, attribute) row in conformance/interface-inventory.tsv. Authority:
# FieldWorks' HCLoader.cs (Src/LexText/ParserCore/HCLoader.cs) -- the component that turns a
# real FieldWorks/LibLCM project into an HC grammar. producible=No means no FieldWorks user can
# ever produce this construct, so covering it elsewhere in this suite proves nothing about real
# use. See conformance/docs/how-it-is-computed.md for the full explanation, including why this
# ledger is a point-in-time snapshot of an external repo that cannot be drift-checked here.
subject_kind	subject	producible	hcloader_sites	notes
failure-reason	HeadRequiredSyntacticFeatureStruct	Yes	HCLoader.cs:1844-1892 (LoadEndoCompoundingRule); HCLoader.cs:1922-1957 (LoadExoCompoundingRule, right rule)	
failure-reason	NonHeadRequiredSyntacticFeatureStruct	Yes	HCLoader.cs:1844-1892 (LoadEndoCompoundingRule); HCLoader.cs:1922-1984 (LoadExoCompoundingRule, both rules)	
failure-reason	HeadProdRestrictMprFeatures	Yes	HCLoader.cs:1888 (LoadEndoCompoundingRule); HCLoader.cs:1953,1980 (LoadExoCompoundingRule, both rules)	Matches this task's stated known data point (~6 total hits across Head+NonHead assignments).
failure-reason	NonHeadProdRestrictMprFeatures	Yes	HCLoader.cs:1889 (LoadEndoCompoundingRule); HCLoader.cs:1954,1981 (LoadExoCompoundingRule, both rules)	Engine trigger site (AnalysisCompoundingRule.cs) is analysis/parse direction only, not synthesis -- still reachable since parsing text is FLEx's primary use of HC.
failure-reason	RequiredMprFeatures	Yes	HCLoader.cs:968,1001,1069,1096,1123 (AffixProcessAllomorph.RequiredMprFeatures); HCLoader.cs:2057 (RewriteSubrule.RequiredMprFeatures)	The CompoundingSubrule.RequiredMprFeatures path (HeadMorphologicalInput.requiredMPRFeatures) is never populated (see that interface row, No), but the affix/phonological paths alone make this reachable.
failure-reason	ExcludedMprFeatures	Yes	HCLoader.cs:1717 (slot-blocking of irregularly-inflected forms); HCLoader.cs:2058 (RewriteSubrule.ExcludedMprFeatures)	
failure-reason	RequiredStemName	Yes	HCLoader.cs:960-962 (LoadDerivAffixProcessRule)	Corroborated by HCLoaderTests.cs:698.
failure-reason	ExcludedStemName	Yes	HCLoader.cs:831-833 (LoadRootAllomorph sets Allomorph.stemName; nothing prevents >1 stem-named allomorph per entry); engine repo RootAllomorph.cs:72-91 derives ExcludedStemName purely from a second, differently stem-named sibling allomorph	Structural consequence of a stem-name-restricted paradigm with more than one region on one entry's allomorphs -- ordinary FieldWorks usage, same underlying attribute as Allomorph.stemName (Yes).
failure-reason	PartialParse	Yes	HCLoader.cs:708 (LoadLexEntry, IsPartial when entry has no POS); HCLoader.cs:982 (LoadInflAffixProcessRule, IsPartial when no slots); HCLoader.cs:1013 (LoadUnclassifiedAffixProcessRule, always IsPartial)	Corroborated by HCLoaderTests.cs:662,726,845.
failure-reason	BoundRoot	Yes	HCLoader.cs:835-841 (LoadRootAllomorph, IsBound for bound-root/bound-stem morph types)	Corroborated by HCLoaderTests.cs:818.
failure-reason	NonPartialRuleProhibitedAfterFinalTemplate	Yes	HCLoader.cs:1678 (AffixTemplate.IsFinal from LibLCM template.Final); HCLoader.cs:708,982,1013 (rule IsPartial sites)	Corroborated by HCLoaderTests.cs:750,789 (IsFinal). Reachable whenever a non-final template is followed by a non-partial, non-template rule such as a derivational affix or clitic.
failure-reason	NonPartialRuleRequiredAfterNonFinalTemplate	Yes	HCLoader.cs:1678 (AffixTemplate.IsFinal); HCLoader.cs:708,982,1013 (rule IsPartial sites)	Same drivers as NonPartialRuleProhibitedAfterFinalTemplate, opposite polarity of the same engine check.
failure-reason	MaxApplicationCount	Yes	HCLoader.cs:103-112 (ParserParameters CompoundRules/maxApps parsed into m_CompoundRuleLookup); HCLoader.cs:1894-1896 (CompoundingRule.MaxApplicationCount assignment)	Only ever wired for CompoundingRule, not AffixProcessRule (grep-confirmed single assignment site) -- still reachable via the compounding path.
interface-attribute	AffixTemplate.requiredPartsOfSpeech	Yes	HCLoader.cs:1681-1684 (LoadAffixTemplate)	
interface-attribute	AffixTemplate.requiredSubcategorizedRules	No		Subcategorization/SyntacticRule is dead schema across the WHOLE engine, not just HCLoader: grepping src/SIL.Machine.Morphology.HermitCrab for 'Subcategoriz' outside the DTD file itself returns zero hits (no C# class implements it), and HCLoader.cs / HCLoaderTests.cs likewise have zero hits for 'Subcategoriz' or 'SyntacticRule'. Confirmed by this repo's own InteractionChainLedger.cs comments ('dead (subcategorization)') on all 9 subcategorization-family attributes (rows 12,20,23,27,35(no -- separate reason),40,52,55,56,57).
interface-attribute	Allomorph.stemName	Yes	HCLoader.cs:831-833 (LoadRootAllomorph)	Corroborated by HCLoaderTests.cs:817.
interface-attribute	AllomorphCoOccurrenceRule.otherAllomorphs	Yes	HCLoader.cs:2163-2189	
interface-attribute	AllomorphCoOccurrenceRule.primaryAllomorph	Yes	HCLoader.cs:2166,2181-2186	
interface-attribute	AlphaVariable.variableFeature	Yes	HCLoader.cs:2005-2011 (LoadRewriteRule, variable naming); HCLoader.cs:2765-2773 (GetVariables ties a variable name to a specific phonological feature)	The Machine engine has no runtime 'AlphaVariable' class (grep-confirmed) -- the DTD's two-hop AlphaVariable->VariableFeature->feature indirection collapses at runtime to SymbolicFeatureValue(feature, variableName, agree), which HCLoader constructs directly.
interface-attribute	BoundaryMarker.boundary	Yes	HCLoader.cs:2698-2712 (LoadCharacterDefinitionTable loads BoundaryMarkersOC into m_charDefs); HCLoader.cs:2348-2360 (LoadPatternNode, PhSimpleContextBdry emits a Constraint referencing that charDef)	
interface-attribute	CompoundingRule.headPartsOfSpeech	Yes	HCLoader.cs:1848-1869 (LoadEndoCompoundingRule); HCLoader.cs:1924-1931 (LoadExoCompoundingRule)	
interface-attribute	CompoundingRule.headProdRestrictionsMprFeatures	Yes	HCLoader.cs:1888,1953,1980	Matches this task's stated known data point (~6 hits).
interface-attribute	CompoundingRule.headSubcategorizedRules	No		Subcategorization, dead (see AffixTemplate.requiredSubcategorizedRules).
interface-attribute	CompoundingRule.nonHeadPartsOfSpeech	Yes	HCLoader.cs:1852-1864,1929-1930	
interface-attribute	CompoundingRule.nonHeadProdRestrictionsMprFeatures	Yes	HCLoader.cs:1889,1954,1981	interface-inventory.tsv shows present=no because no CONFORMANCE FIXTURE happens to exercise it -- a corpus-coverage fact, not an HCLoader-capability fact. The code path is identical to headProdRestrictionsMprFeatures.
interface-attribute	CompoundingRule.nonHeadSubcategorizedRules	No		Subcategorization, dead.
interface-attribute	CompoundingRule.outputObligatoryFeatures	No		Absence confirmed across LoadEndoCompoundingRule (HCLoader.cs:1842-1912) and LoadExoCompoundingRule (HCLoader.cs:1922-2001) -- neither ever touches CompoundingRule.ObligatorySyntacticFeatures. The engine fully implements this (CompoundingRule.cs:54-57, XmlLanguageLoader.cs:1227-1231), so this is a FieldWorks-specific gap, not dead schema -- the same absence drives FailureReason.ObligatorySyntacticFeatures=No. Searched: ObligatorySyntacticFeatures, outputObligatoryFeatures, Obligatory.
interface-attribute	CompoundingRule.outputPartOfSpeech	Yes	HCLoader.cs:1873-1876,1932-1935	
interface-attribute	CompoundingRule.outputProdRestrictionsMprFeatures	No		Property OutputProdRestrictionsMprFeatures exists on CompoundingRule (engine repo CompoundingRule.cs:25,50) and is never set by HCLoader (checked LoadEndoCompoundingRule HCLoader.cs:1842-1912 and LoadExoCompoundingRule 1922-2001; grep-confirmed zero hits for 'OutputProdRestrictionsMprFeatures' across all of HCLoader.cs). Only OutMprFeatures, HeadProdRestrictionsMprFeatures and NonHeadProdRestrictionsMprFeatures are ever populated.
interface-attribute	CompoundingRule.outputSubcategorization	No		Subcategorization, dead.
interface-attribute	CopyFromInput.index	Yes	HCLoader.cs:1310,1384,1454-1518,1547-1601 (pervasive)	
interface-attribute	FeatureValue.feature	Yes	HCLoader.cs:2500-2530 (LoadFeatureStruct)	
interface-attribute	FeatureValue.symbolValues	Yes	HCLoader.cs:2507-2516	
interface-attribute	HeadMorphologicalInput.excludedMPRFeatures	No		Absence confirmed across both compounding-rule loaders (HCLoader.cs:1898-1910 Endo, 1959-1971/1986-1998 Exo) -- CompoundingSubrule.ExcludedMprFeatures (engine repo CompoundingSubrule.cs:48-51) is never set by HCLoader; grep-confirmed only OutMprFeatures is ever touched on a CompoundingSubrule. Ground truth for which runtime property this DTD attribute maps to: engine repo XmlLanguageLoader.cs:1278-1279.
interface-attribute	HeadMorphologicalInput.requiredMPRFeatures	No		Same absence and citations as HeadMorphologicalInput.excludedMPRFeatures (CompoundingSubrule.RequiredMprFeatures is likewise never set; XmlLanguageLoader.cs:1278 is the ground-truth mapping).
interface-attribute	InsertSegments.characterDefinitionTable	No		HCLoader.cs:204 loads exactly one PhonemeSetsOS[0] as the whole grammar's character table; HCLoader.cs:2831-2835 (Segments() helper) and every InsertSegments call always route through that single m_table field; HCLoader.cs:2742 adds it to m_language.CharacterDefinitionTables exactly once. HCLoader architecturally never builds more than one CharacterDefinitionTable, so an explicit override to a non-default table -- what this attribute exists for -- can never carry a meaningful value, in any FieldWorks project or configuration.
interface-attribute	LexicalEntry.family	No		Full-file grep of HCLoader.cs for 'family'/'Family' returns zero hits. The engine's LexFamily/LexEntry.Family mechanism exists (engine repo LexEntry.cs:92, LexFamily.cs) and HCLoader's own TODO comment (HCLoader.cs:744, 'irregularly inflected forms should be handled by rule blocking in HC') shows it deliberately uses a different, MPR-feature-based mechanism instead of the engine's native Family-blocking feature for exactly the case (irregular/variant forms) the DTD comment says Family exists for.
interface-attribute	LexicalEntry.morphologicalRules	No		Dead even in the engine's own reference XML loader (this repo's InteractionChainLedger.cs:79, 'dead: no loader reference at all'). LexEntry has no MorphologicalRules property at all in the runtime object model (grep-confirmed against engine repo LexEntry.cs), so HCLoader cannot set it regardless of what LibLCM data exists.
interface-attribute	LexicalEntry.obligatoryFootFeatures	No		Dead even in the engine's own reference XML loader (InteractionChainLedger.cs:80). LexEntry has no such property (only MprFeatures, SyntacticFeatureStruct -- engine repo LexEntry.cs:80,86).
interface-attribute	LexicalEntry.obligatoryHeadFeatures	No		Dead even in the engine's own reference XML loader (InteractionChainLedger.cs:81). Matches this task's stated expectation. Searched HCLoader.cs and engine repo LexEntry.cs for: obligatoryHeadFeatures, ObligatoryHeadFeatures, Obligatory -- zero hits beyond the unrelated ObligatorySyntacticFeatures mechanism.
interface-attribute	LexicalEntry.partOfSpeech	Yes	HCLoader.cs:705-708	
interface-attribute	LexicalEntry.ruleFeatures	Yes	HCLoader.cs:695-701,737-746 (inflection-class and productivity-restriction features unioned into hcEntry.MprFeatures)	
interface-attribute	LexicalEntry.subcategorizations	No		Subcategorization, dead.
interface-attribute	MetathesisRule.leftSwitch	Yes	HCLoader.cs:2103-2161 (LoadMetathesisRule); HCLoader.cs:322-336 (call site, gated on LeftSwitchIndex/RightSwitchIndex != -1)	
interface-attribute	MetathesisRule.rightSwitch	Yes	HCLoader.cs:2103-2161; HCLoader.cs:322-336	
interface-attribute	ModifyFromInput.index	Yes	HCLoader.cs:1409-1419	
interface-attribute	MorphemeCoOccurrenceRule.otherMorphemes	Yes	HCLoader.cs:2213-2239	
interface-attribute	MorphemeCoOccurrenceRule.primaryMorpheme	Yes	HCLoader.cs:2215-2235	
interface-attribute	MorphologicalInput.excludedMPRFeatures	Yes	HCLoader.cs:1717 (AffixProcessAllomorph.ExcludedMprFeatures)	Ground-truth mapping via engine repo XmlLanguageLoader.cs:1057-1062.
interface-attribute	MorphologicalInput.requiredMPRFeatures	Yes	HCLoader.cs:968,1001,1069,1096,1123	
interface-attribute	MorphologicalOutput.MPRFeatures	Yes	HCLoader.cs:969 (AffixProcessAllomorph.OutMprFeatures); HCLoader.cs:1901,1961,1988 (CompoundingSubrule.OutMprFeatures)	
interface-attribute	MorphologicalPhonologicalRuleFeatureGroup.features	Yes	HCLoader.cs:168-192 (LoadLanguage, three MprFeatureGroups); HCLoader.cs:571-577 (LoadMprFeature, group.MprFeatures.Add(feat))	
interface-attribute	MorphologicalRule.outputObligatoryFeatures	No		Absence confirmed across all four AffixProcessRule loaders (HCLoader.cs:926-1046). AffixProcessRule.ObligatorySyntacticFeatures (engine repo AffixProcessRule.cs:68) is never set. Same underlying gap as CompoundingRule.outputObligatoryFeatures and FailureReason.ObligatorySyntacticFeatures (both also No).
interface-attribute	MorphologicalRule.outputPartOfSpeech	Yes	HCLoader.cs:938-944	
interface-attribute	MorphologicalRule.outputSubcategorization	No		Subcategorization, dead.
interface-attribute	MorphologicalRule.requiredPartsOfSpeech	Yes	HCLoader.cs:930-936,985-991,1016-1020,1034-1038	
interface-attribute	MorphologicalRule.requiredStemName	Yes	HCLoader.cs:960-962	Corroborated by HCLoaderTests.cs:698.
interface-attribute	MorphologicalRule.requiredSubcategorizedRules	No		Subcategorization, dead.
interface-attribute	OutputSubcategorizationOverride.inputSubcategorization	No		Subcategorization, dead; the OutputSubcategorizationOverride element is never referenced anywhere in HCLoader.cs.
interface-attribute	OutputSubcategorizationOverride.outputSubcategorization	No		Subcategorization, dead; see inputSubcategorization.
interface-attribute	PhonologicalSubrule.excludedMPRFeatures	Yes	HCLoader.cs:2058	interface-inventory.tsv shows present=no (no fixture exercises it) but the HCLoader code path is live -- a corpus-coverage fact, not a capability fact.
interface-attribute	PhonologicalSubrule.requiredMPRFeatures	Yes	HCLoader.cs:2057	Same corpus-coverage caveat as excludedMPRFeatures.
interface-attribute	PhonologicalSubrule.requiredPartsOfSpeech	Yes	HCLoader.cs:2051-2055	
interface-attribute	Segment.segment	Yes	HCLoader.cs:2362-2374 (LoadPatternNode, PhSimpleContextSeg)	
interface-attribute	Segments.characterDefinitionTable	No		Same reasoning and citations as InsertSegments.characterDefinitionTable: HCLoader always builds exactly one CharacterDefinitionTable (HCLoader.cs:204,2742) so a per-instance override to a different table can never carry a meaningful value.
interface-attribute	SimpleContext.naturalClass	Yes	HCLoader.cs:2745-2786 (TryLoadSimpleContext, both overloads)	
interface-attribute	Slot.morphologicalRules	Yes	HCLoader.cs:1702-1731 (LoadAffixTemplate slot/rule assembly)	
interface-attribute	StemName.partsOfSpeech	Yes	HCLoader.cs:206-224 (LoadLanguage, StemName regions)	
interface-attribute	Stratum.characterDefinitionTable	Yes	HCLoader.cs:227-233 (default strata); HCLoader.cs:374 (CreateStrata, custom strata)	
interface-attribute	Stratum.morphologicalRules	Yes	HCLoader.cs:237,246,250 (compounding rules); HCLoader.cs:290-292,916-923 (AddMorphologicalRule)	
interface-attribute	Stratum.phonologicalRules	Yes	HCLoader.cs:314-333	
interface-attribute	SymbolicFeature.defaultSymbol	No		HCLoader.cs:2650-2667 (LoadFeatureSystem) never sets a default value on any SymbolicFeature it builds. The engine property is SymbolicFeature.DefaultSymbolID/DefaultValue (engine repo FeatureModel/SymbolicFeature.cs:34-36), read by XmlLanguageLoader.cs:644 -- so this is a FieldWorks-specific gap, not dead schema. Searched HCLoader.cs for: Default, DefaultSymbol, DefaultValue -- only unrelated hits (writing-system/inflection-class/compounding defaults).
interface-attribute	VariableFeature.phonologicalFeature	Yes	HCLoader.cs:2765-2773 (GetVariables)	Same runtime-collapse caveat as AlphaVariable.variableFeature -- no 'VariableFeature' class exists in the engine's runtime object model (grep-confirmed), so this is evaluated via the equivalent runtime construct HCLoader actually builds.
