# GENERATED by hc-conformance --write-coverage-traceability. One row per (fixture,
# obligation) pair this fixture witnesses, joined from three already-checked-in ledgers --
# never recomputed here, so this file costs no re-parse of its own. layer is Surface
# (semantic-coverage-evidence.tsv), Interface (interface-inventory.tsv +
# interface-witness.tsv), or Construct (construct-claim-corroboration.tsv); the chain/
# junction layer is out of scope (owned by interaction-chains.tsv's own generator).
# status vocabulary differs per layer -- see GrammarCoverageLedger's *Status methods --
# but 'witnessed' always means the same thing: a word-level counterfactual delta, never
# mere presence. detail carries the underlying verdict/claim-count for that reason.
fixture	layer	obligation	status	detail
edge-cases/alpha-variable-name-collision	Surface	dtd:element/VariableFeature	required-by-dtd	RequiredByDtd
edge-cases/alpha-variable-name-collision	Surface	dtd:element/VariableFeatures	required-by-dtd	RequiredByDtd
edge-cases/alpha-variable-name-collision	Surface	dtd:enum/AlphaVariable/polarity/minus	witnessed	Evidenced
edge-cases/alpha-variable-name-collision	Surface	dtd:enum/AlphaVariable/polarity/plus	witnessed	Evidenced
edge-cases/alpha-variable-name-collision	Surface	dtd:enum/VariableFeature/name/%CE%B1	witnessed	Evidenced
edge-cases/alpha-variable-name-collision	Surface	dtd:enum/VariableFeature/name/%CE%B2	witnessed	Evidenced
edge-cases/alpha-variable-name-collision	Interface	AlphaVariable.variableFeature	required-by-dtd	RequiredByDtd
edge-cases/alpha-variable-name-collision	Interface	FeatureValue.feature	required-by-dtd	RequiredByDtd
edge-cases/alpha-variable-name-collision	Interface	FeatureValue.symbolValues	required-by-loader	RequiredByLoader
edge-cases/alpha-variable-name-collision	Interface	LexicalEntry.partOfSpeech	present-but-inert	Unobservable
edge-cases/alpha-variable-name-collision	Interface	Segment.segment	required-by-dtd	RequiredByDtd
edge-cases/alpha-variable-name-collision	Interface	SimpleContext.naturalClass	required-by-dtd	RequiredByDtd
edge-cases/alpha-variable-name-collision	Interface	Stratum.characterDefinitionTable	required-by-dtd	RequiredByDtd
edge-cases/alpha-variable-name-collision	Interface	Stratum.phonologicalRules	witnessed	Evidenced
edge-cases/alpha-variable-name-collision	Interface	VariableFeature.phonologicalFeature	required-by-dtd	RequiredByDtd
edge-cases/alpha-variable-name-collision	Construct	Alpha-variable phonological environments (VariableFeature/AlphaVariables)	claimed-confirmed	2 claim(s)
edge-cases/bistratal-overlapping-segment-representation	Interface	Stratum.characterDefinitionTable	required-by-dtd	RequiredByDtd
edge-cases/bistratal-overlapping-segment-representation	Construct	CharacterDefinitionTable: more than one table, one per stratum	claimed-confirmed	5 claim(s)
edge-cases/compounding-breadth	Surface	dtd:element/AssignedFootFeatures	witnessed	Evidenced
edge-cases/compounding-breadth	Surface	dtd:element/AssignedHeadFeatures	witnessed	Evidenced
edge-cases/compounding-breadth	Surface	dtd:element/CompoundingRule	required-by-dtd	RequiredByDtd
edge-cases/compounding-breadth	Surface	dtd:element/CompoundingSubrule	required-by-dtd	RequiredByDtd
edge-cases/compounding-breadth	Surface	dtd:element/CompoundingSubrules	required-by-dtd	RequiredByDtd
edge-cases/compounding-breadth	Surface	dtd:element/CopyFromInput	witnessed	Evidenced
edge-cases/compounding-breadth	Surface	dtd:element/FeatureNaturalClass	required-by-dtd	RequiredByDtd
edge-cases/compounding-breadth	Surface	dtd:element/FootFeatures	required-by-dtd	RequiredByDtd
edge-cases/compounding-breadth	Surface	dtd:element/HeadFeatures	required-by-dtd	RequiredByDtd
edge-cases/compounding-breadth	Surface	dtd:element/HeadMorphologicalInput	required-by-dtd	RequiredByDtd
edge-cases/compounding-breadth	Surface	dtd:element/HeadRequiredFootFeatures	witnessed	Evidenced
edge-cases/compounding-breadth	Surface	dtd:element/HeadRequiredHeadFeatures	witnessed	Evidenced
edge-cases/compounding-breadth	Surface	dtd:element/MorphologicalOutput	required-by-dtd	RequiredByDtd
edge-cases/compounding-breadth	Surface	dtd:element/MorphologicalRuleDefinitions	required-by-dtd	RequiredByDtd
edge-cases/compounding-breadth	Surface	dtd:element/NonHeadMorphologicalInput	required-by-dtd	RequiredByDtd
edge-cases/compounding-breadth	Surface	dtd:element/NonHeadRequiredFootFeatures	witnessed	Evidenced
edge-cases/compounding-breadth	Surface	dtd:element/NonHeadRequiredHeadFeatures	witnessed	Evidenced
edge-cases/compounding-breadth	Surface	dtd:element/OptionalSegmentSequence	witnessed	Evidenced
edge-cases/compounding-breadth	Surface	dtd:enum/CompoundingRule/isActive/no	witnessed	Evidenced
edge-cases/compounding-breadth	Surface	dtd:enum/CompoundingRule/multipleApplication/0	witnessed	Evidenced
edge-cases/compounding-breadth	Surface	dtd:enum/CompoundingSubrule/isActive/no	witnessed	Evidenced
edge-cases/compounding-breadth	Interface	CompoundingRule.headPartsOfSpeech	present-but-inert	Unobservable
edge-cases/compounding-breadth	Interface	CompoundingRule.nonHeadPartsOfSpeech	present-but-inert	Unobservable
edge-cases/compounding-breadth	Interface	CompoundingRule.outputPartOfSpeech	witnessed	Evidenced
edge-cases/compounding-breadth	Interface	CopyFromInput.index	required-by-dtd	RequiredByDtd
edge-cases/compounding-breadth	Interface	FeatureValue.feature	required-by-dtd	RequiredByDtd
edge-cases/compounding-breadth	Interface	FeatureValue.symbolValues	required-by-loader	RequiredByLoader
edge-cases/compounding-breadth	Interface	LexicalEntry.partOfSpeech	present-but-inert	Unobservable
edge-cases/compounding-breadth	Interface	MorphologicalRule.outputPartOfSpeech	present-but-inert	Unobservable
edge-cases/compounding-breadth	Interface	MorphologicalRule.requiredPartsOfSpeech	witnessed	Evidenced
edge-cases/compounding-breadth	Interface	SimpleContext.naturalClass	required-by-dtd	RequiredByDtd
edge-cases/compounding-breadth	Interface	Stratum.characterDefinitionTable	required-by-dtd	RequiredByDtd
edge-cases/compounding-breadth	Interface	Stratum.morphologicalRules	witnessed	Evidenced
edge-cases/compounding-breadth	Construct	CompoundingRule	claimed-confirmed	2 claim(s)
edge-cases/compounding-breadth	Construct	CompoundingRule constraints (MaxApplicationCount/Blockable/head-nonhead syntactic features)	claimed-confirmed	7 claim(s)
edge-cases/compounding-breadth	Construct	Element deactivation (isActive) across loader collections	claimed-confirmed	2 claim(s)
edge-cases/cross-table-root-respelling	Interface	CopyFromInput.index	required-by-dtd	RequiredByDtd
edge-cases/cross-table-root-respelling	Interface	FeatureValue.feature	required-by-dtd	RequiredByDtd
edge-cases/cross-table-root-respelling	Interface	FeatureValue.symbolValues	required-by-loader	RequiredByLoader
edge-cases/cross-table-root-respelling	Interface	LexicalEntry.partOfSpeech	present-but-inert	Unobservable
edge-cases/cross-table-root-respelling	Interface	MorphologicalRule.outputPartOfSpeech	present-but-inert	Unobservable
edge-cases/cross-table-root-respelling	Interface	MorphologicalRule.requiredPartsOfSpeech	present-but-inert	Unobservable
edge-cases/cross-table-root-respelling	Interface	SimpleContext.naturalClass	required-by-dtd	RequiredByDtd
edge-cases/cross-table-root-respelling	Interface	Stratum.characterDefinitionTable	required-by-dtd	RequiredByDtd
edge-cases/cross-table-root-respelling	Interface	Stratum.morphologicalRules	witnessed	Evidenced
edge-cases/cross-table-root-respelling	Construct	CharacterDefinitionTable: cross-table respelling (an inner-stratum root surfaces spelled by the final stratum's table)	claimed-confirmed	2 claim(s)
edge-cases/cross-table-root-respelling	Construct	CharacterDefinitionTable: more than one table, one per stratum	claimed-confirmed	7 claim(s)
edge-cases/deep-optional-affix-nesting	Interface	AffixTemplate.requiredPartsOfSpeech	present-but-inert	Unobservable
edge-cases/deep-optional-affix-nesting	Interface	CopyFromInput.index	required-by-dtd	RequiredByDtd
edge-cases/deep-optional-affix-nesting	Interface	LexicalEntry.partOfSpeech	present-but-inert	Unobservable
edge-cases/deep-optional-affix-nesting	Interface	MorphologicalRule.outputPartOfSpeech	present-but-inert	Unobservable
edge-cases/deep-optional-affix-nesting	Interface	MorphologicalRule.requiredPartsOfSpeech	present-but-inert	Unobservable
edge-cases/deep-optional-affix-nesting	Interface	SimpleContext.naturalClass	required-by-dtd	RequiredByDtd
edge-cases/deep-optional-affix-nesting	Interface	Slot.morphologicalRules	required-by-dtd	RequiredByDtd
edge-cases/deep-optional-affix-nesting	Interface	Stratum.characterDefinitionTable	required-by-dtd	RequiredByDtd
edge-cases/deep-optional-affix-nesting	Construct	Affix template slots (obligatory/disjunctive/ordering)	claimed-unmapped	2 claim(s)
edge-cases/diacritic-segments	Surface	dtd:element/AffixTemplate	required-by-dtd	RequiredByDtd
edge-cases/diacritic-segments	Surface	dtd:element/InsertSegments	witnessed	Evidenced
edge-cases/diacritic-segments	Surface	dtd:element/LeftEnvironment	witnessed	Evidenced
edge-cases/diacritic-segments	Surface	dtd:element/MorphologicalInput	required-by-dtd	RequiredByDtd
edge-cases/diacritic-segments	Surface	dtd:element/MorphologicalRule	required-by-dtd	RequiredByDtd
edge-cases/diacritic-segments	Surface	dtd:element/MorphologicalSubrule	required-by-dtd	RequiredByDtd
edge-cases/diacritic-segments	Surface	dtd:element/MorphologicalSubrules	required-by-dtd	RequiredByDtd
edge-cases/diacritic-segments	Surface	dtd:element/PhoneticTemplate	required-by-dtd	RequiredByDtd
edge-cases/diacritic-segments	Surface	dtd:element/RequiredEnvironments	witnessed	Evidenced
edge-cases/diacritic-segments	Surface	dtd:element/Segment	witnessed	Evidenced
edge-cases/diacritic-segments	Surface	dtd:element/Slot	required-by-dtd	RequiredByDtd
edge-cases/diacritic-segments	Surface	dtd:enum/Slot/optional/true	witnessed	Evidenced
edge-cases/diacritic-segments	Interface	AffixTemplate.requiredPartsOfSpeech	present-but-inert	Unobservable
edge-cases/diacritic-segments	Interface	CopyFromInput.index	required-by-dtd	RequiredByDtd
edge-cases/diacritic-segments	Interface	LexicalEntry.partOfSpeech	present-but-inert	Unobservable
edge-cases/diacritic-segments	Interface	MorphologicalRule.outputPartOfSpeech	present-but-inert	Unobservable
edge-cases/diacritic-segments	Interface	MorphologicalRule.requiredPartsOfSpeech	present-but-inert	Unobservable
edge-cases/diacritic-segments	Interface	Segment.segment	required-by-dtd	RequiredByDtd
edge-cases/diacritic-segments	Interface	SimpleContext.naturalClass	required-by-dtd	RequiredByDtd
edge-cases/diacritic-segments	Interface	Slot.morphologicalRules	required-by-dtd	RequiredByDtd
edge-cases/diacritic-segments	Interface	Stratum.characterDefinitionTable	required-by-dtd	RequiredByDtd
edge-cases/diacritic-segments	Interface	Stratum.morphologicalRules	present-but-inert	Unobservable
edge-cases/diacritic-segments	Construct	Affix template slots (obligatory/disjunctive/ordering)	claimed-unmapped	6 claim(s)
edge-cases/diacritic-segments	Construct	AffixProcessRule: prefix/suffix/circumfix/infix	claimed-unmapped	6 claim(s)
edge-cases/diacritic-segments	Construct	Boundary markers (CharacterDefinitionTable)	claimed-confirmed	1 claim(s)
edge-cases/diacritic-segments	Construct	MorphologicalOutputAction: CopyFromInput/InsertSegments	claimed-confirmed	6 claim(s)
edge-cases/diacritic-segments	Construct	NaturalClass: Segments vs FeatureNaturalClass/SegmentNaturalClass precision	claimed-confirmed	4 claim(s)
edge-cases/disjunctive-recheck	Surface	dtd:element/RightEnvironment	witnessed	Evidenced
edge-cases/disjunctive-recheck	Interface	CopyFromInput.index	required-by-dtd	RequiredByDtd
edge-cases/disjunctive-recheck	Interface	FeatureValue.feature	required-by-dtd	RequiredByDtd
edge-cases/disjunctive-recheck	Interface	FeatureValue.symbolValues	required-by-loader	RequiredByLoader
edge-cases/disjunctive-recheck	Interface	LexicalEntry.partOfSpeech	present-but-inert	Unobservable
edge-cases/disjunctive-recheck	Interface	MorphologicalRule.outputPartOfSpeech	present-but-inert	Unobservable
edge-cases/disjunctive-recheck	Interface	MorphologicalRule.requiredPartsOfSpeech	present-but-inert	Unobservable
edge-cases/disjunctive-recheck	Interface	Segment.segment	required-by-dtd	RequiredByDtd
edge-cases/disjunctive-recheck	Interface	SimpleContext.naturalClass	required-by-dtd	RequiredByDtd
edge-cases/disjunctive-recheck	Interface	Stratum.characterDefinitionTable	required-by-dtd	RequiredByDtd
edge-cases/disjunctive-recheck	Interface	Stratum.morphologicalRules	witnessed	Evidenced
edge-cases/disjunctive-recheck	Construct	Disjunctive allomorphs / free-fluctuation	claimed-unmapped	10 claim(s)
edge-cases/feature-gating-breadth	Surface	dtd:element/OutputFootFeatures	witnessed	Evidenced
edge-cases/feature-gating-breadth	Surface	dtd:element/Property	required-by-dtd	RequiredByDtd
edge-cases/feature-gating-breadth	Surface	dtd:element/RealizationalFeatures	required-by-dtd	RequiredByDtd
edge-cases/feature-gating-breadth	Surface	dtd:element/RealizationalRule	required-by-dtd	RequiredByDtd
edge-cases/feature-gating-breadth	Surface	dtd:element/RequiredFootFeatures	witnessed	Evidenced
edge-cases/feature-gating-breadth	Surface	dtd:element/RequiredHeadFeatures	witnessed	Evidenced
edge-cases/feature-gating-breadth	Surface	dtd:enum/Stratum/morphologicalRuleOrder/linear	witnessed	Evidenced
edge-cases/feature-gating-breadth	Interface	CopyFromInput.index	required-by-dtd	RequiredByDtd
edge-cases/feature-gating-breadth	Interface	FeatureValue.feature	required-by-dtd	RequiredByDtd
edge-cases/feature-gating-breadth	Interface	FeatureValue.symbolValues	required-by-loader	RequiredByLoader
edge-cases/feature-gating-breadth	Interface	LexicalEntry.partOfSpeech	present-but-inert	Unobservable
edge-cases/feature-gating-breadth	Interface	MorphologicalRule.outputPartOfSpeech	present-but-inert	Unobservable
edge-cases/feature-gating-breadth	Interface	MorphologicalRule.requiredPartsOfSpeech	present-but-inert	Unobservable
edge-cases/feature-gating-breadth	Interface	SimpleContext.naturalClass	required-by-dtd	RequiredByDtd
edge-cases/feature-gating-breadth	Interface	Stratum.characterDefinitionTable	required-by-dtd	RequiredByDtd
edge-cases/feature-gating-breadth	Interface	Stratum.morphologicalRules	witnessed	Evidenced
edge-cases/feature-gating-breadth	Construct	Affix template slots (obligatory/disjunctive/ordering)	claimed-unmapped	1 claim(s)
edge-cases/feature-gating-breadth	Construct	RealizationalAffixProcessRule	claimed-unmapped	3 claim(s)
edge-cases/feature-gating-breadth	Construct	Syntactic feature agreement (RequiredHeadFeatures/OutputHeadFeatures/RequiredFootFeatures/OutputFootFeatures)	claimed-confirmed	11 claim(s)
edge-cases/feature-system-breadth	Surface	dtd:element/ComplexFeature	required-by-dtd	RequiredByDtd
edge-cases/feature-system-breadth	Surface	dtd:element/ExcludedEnvironments	witnessed	Evidenced
edge-cases/feature-system-breadth	Surface	dtd:element/MetathesisRule	required-by-dtd	RequiredByDtd
edge-cases/feature-system-breadth	Surface	dtd:element/StructuralDescription	required-by-dtd	RequiredByDtd
edge-cases/feature-system-breadth	Surface	dtd:enum/ComplexFeature/isActive/no	witnessed	EvidencedJointly
edge-cases/feature-system-breadth	Surface	dtd:enum/FeatureNaturalClass/isActive/no	witnessed	EvidencedJointly
edge-cases/feature-system-breadth	Surface	dtd:enum/FeatureValue/isActive/no	witnessed	Evidenced
edge-cases/feature-system-breadth	Surface	dtd:enum/LexicalEntry/isActive/no	required-by-loader	RequiredByLoader
edge-cases/feature-system-breadth	Surface	dtd:enum/MetathesisRule/isActive/no	witnessed	Evidenced
edge-cases/feature-system-breadth	Surface	dtd:enum/MetathesisRule/multipleApplicationOrder/rightToLeftIterative	witnessed	Evidenced
edge-cases/feature-system-breadth	Surface	dtd:enum/PhonologicalRule/isActive/no	required-by-loader	RequiredByLoader
edge-cases/feature-system-breadth	Surface	dtd:enum/PhonologicalSubrule/isActive/no	witnessed	Evidenced
edge-cases/feature-system-breadth	Surface	dtd:enum/SegmentNaturalClass/isActive/no	witnessed	EvidencedJointly
edge-cases/feature-system-breadth	Surface	dtd:enum/SymbolicFeature/isActive/no	witnessed	EvidencedJointly
edge-cases/feature-system-breadth	Interface	AlphaVariable.variableFeature	required-by-dtd	RequiredByDtd
edge-cases/feature-system-breadth	Interface	CopyFromInput.index	required-by-dtd	RequiredByDtd
edge-cases/feature-system-breadth	Interface	FeatureValue.feature	required-by-dtd	RequiredByDtd
edge-cases/feature-system-breadth	Interface	FeatureValue.symbolValues	required-by-loader	RequiredByLoader
edge-cases/feature-system-breadth	Interface	LexicalEntry.partOfSpeech	present-but-inert	Unobservable
edge-cases/feature-system-breadth	Interface	MetathesisRule.leftSwitch	required-by-dtd	RequiredByDtd
edge-cases/feature-system-breadth	Interface	MetathesisRule.rightSwitch	required-by-dtd	RequiredByDtd
edge-cases/feature-system-breadth	Interface	MorphologicalRule.outputPartOfSpeech	present-but-inert	Unobservable
edge-cases/feature-system-breadth	Interface	MorphologicalRule.requiredPartsOfSpeech	present-but-inert	Unobservable
edge-cases/feature-system-breadth	Interface	Segment.segment	required-by-dtd	RequiredByDtd
edge-cases/feature-system-breadth	Interface	SimpleContext.naturalClass	required-by-dtd	RequiredByDtd
edge-cases/feature-system-breadth	Interface	Stratum.characterDefinitionTable	required-by-dtd	RequiredByDtd
edge-cases/feature-system-breadth	Interface	Stratum.morphologicalRules	witnessed	Evidenced
edge-cases/feature-system-breadth	Interface	Stratum.phonologicalRules	witnessed	Evidenced
edge-cases/feature-system-breadth	Interface	VariableFeature.phonologicalFeature	required-by-dtd	RequiredByDtd
edge-cases/feature-system-breadth	Construct	AffixProcessRule: prefix/suffix/circumfix/infix	claimed-unmapped	1 claim(s)
edge-cases/feature-system-breadth	Construct	Alpha-variable phonological environments (VariableFeature/AlphaVariables)	claimed-confirmed	2 claim(s)
edge-cases/feature-system-breadth	Construct	Element deactivation (isActive) across loader collections	claimed-confirmed	1 claim(s)
edge-cases/feature-system-breadth	Construct	MetathesisRule	claimed-confirmed	10 claim(s)
edge-cases/feature-system-breadth	Construct	NaturalClass: Segments vs FeatureNaturalClass/SegmentNaturalClass precision	claimed-confirmed	3 claim(s)
edge-cases/feature-system-breadth	Construct	RewriteRule Iterative (epenthesis/deletion/feature/expansion/merge)	claimed-unmapped	2 claim(s)
edge-cases/free-fluctuating-allomorph-pair	Interface	CopyFromInput.index	required-by-dtd	RequiredByDtd
edge-cases/free-fluctuating-allomorph-pair	Interface	FeatureValue.feature	required-by-dtd	RequiredByDtd
edge-cases/free-fluctuating-allomorph-pair	Interface	FeatureValue.symbolValues	required-by-loader	RequiredByLoader
edge-cases/free-fluctuating-allomorph-pair	Interface	LexicalEntry.partOfSpeech	present-but-inert	Unobservable
edge-cases/free-fluctuating-allomorph-pair	Interface	MorphologicalRule.outputPartOfSpeech	present-but-inert	Unobservable
edge-cases/free-fluctuating-allomorph-pair	Interface	MorphologicalRule.requiredPartsOfSpeech	present-but-inert	Unobservable
edge-cases/free-fluctuating-allomorph-pair	Interface	Segment.segment	required-by-dtd	RequiredByDtd
edge-cases/free-fluctuating-allomorph-pair	Interface	SimpleContext.naturalClass	required-by-dtd	RequiredByDtd
edge-cases/free-fluctuating-allomorph-pair	Interface	Stratum.characterDefinitionTable	required-by-dtd	RequiredByDtd
edge-cases/free-fluctuating-allomorph-pair	Interface	Stratum.morphologicalRules	witnessed	Evidenced
edge-cases/free-fluctuating-allomorph-pair	Construct	Disjunctive allomorphs / free-fluctuation	claimed-unmapped	6 claim(s)
edge-cases/loader-default-symbol	Interface	FeatureValue.feature	required-by-dtd	RequiredByDtd
edge-cases/loader-default-symbol	Interface	FeatureValue.symbolValues	required-by-loader	RequiredByLoader
edge-cases/loader-default-symbol	Interface	LexicalEntry.partOfSpeech	present-but-inert	Unobservable
edge-cases/loader-default-symbol	Interface	SimpleContext.naturalClass	required-by-dtd	RequiredByDtd
edge-cases/loader-default-symbol	Interface	Stratum.characterDefinitionTable	required-by-dtd	RequiredByDtd
edge-cases/loader-default-symbol	Interface	Stratum.phonologicalRules	witnessed	Evidenced
edge-cases/loader-default-symbol	Interface	SymbolicFeature.defaultSymbol	present-but-inert	Unobservable
edge-cases/loader-default-symbol	Construct	Boundary markers (CharacterDefinitionTable)	claimed-confirmed	2 claim(s)
edge-cases/loader-isactive	Surface	dtd:element/BoundaryDefinition	required-by-dtd	RequiredByDtd
edge-cases/loader-isactive	Surface	dtd:enum/PhonologicalFeatureSystem/isActive/no	required-by-loader	RequiredByLoader
edge-cases/loader-isactive	Interface	FeatureValue.feature	required-by-dtd	RequiredByDtd
edge-cases/loader-isactive	Interface	FeatureValue.symbolValues	required-by-loader	RequiredByLoader
edge-cases/loader-isactive	Interface	LexicalEntry.partOfSpeech	present-but-inert	Unobservable
edge-cases/loader-isactive	Interface	Stratum.characterDefinitionTable	required-by-dtd	RequiredByDtd
edge-cases/loader-isactive	Construct	Boundary markers (CharacterDefinitionTable)	claimed-confirmed	2 claim(s)
edge-cases/loader-isactive-breadth	Surface	dtd:element/AffixTemplates	witnessed	Evidenced
edge-cases/loader-isactive-breadth	Surface	dtd:element/BoundaryDefinitions	required-by-dtd	RequiredByDtd
edge-cases/loader-isactive-breadth	Surface	dtd:element/Families	required-by-dtd	RequiredByDtd
edge-cases/loader-isactive-breadth	Surface	dtd:element/Family	required-by-dtd	RequiredByDtd
edge-cases/loader-isactive-breadth	Surface	dtd:element/MorphologicalPhonologicalRuleFeature	required-by-dtd	RequiredByDtd
edge-cases/loader-isactive-breadth	Surface	dtd:element/MorphologicalPhonologicalRuleFeatures	required-by-dtd	RequiredByDtd
edge-cases/loader-isactive-breadth	Surface	dtd:enum/AffixTemplate/final/true	witnessed	Evidenced
edge-cases/loader-isactive-breadth	Surface	dtd:enum/AffixTemplate/isActive/no	witnessed	Evidenced
edge-cases/loader-isactive-breadth	Surface	dtd:enum/AffixTemplate/isActive/yes	witnessed	Evidenced
edge-cases/loader-isactive-breadth	Surface	dtd:enum/Allomorph/isActive/no	witnessed	Evidenced
edge-cases/loader-isactive-breadth	Surface	dtd:enum/Allomorph/isActive/yes	witnessed	Evidenced
edge-cases/loader-isactive-breadth	Surface	dtd:enum/Allomorph/isBound/false	witnessed	Evidenced
edge-cases/loader-isactive-breadth	Surface	dtd:enum/BoundaryDefinition/isActive/no	witnessed	Evidenced
edge-cases/loader-isactive-breadth	Surface	dtd:enum/BoundaryDefinition/isActive/yes	required-by-loader	RequiredByLoader
edge-cases/loader-isactive-breadth	Surface	dtd:enum/CharacterDefinitionTable/isActive/no	witnessed	EvidencedJointly
edge-cases/loader-isactive-breadth	Surface	dtd:enum/CharacterDefinitionTable/isActive/yes	required-by-loader	RequiredByLoader
edge-cases/loader-isactive-breadth	Surface	dtd:enum/Family/isActive/no	witnessed	EvidencedJointly
edge-cases/loader-isactive-breadth	Surface	dtd:enum/Family/isActive/yes	required-by-loader	RequiredByLoader
edge-cases/loader-isactive-breadth	Surface	dtd:enum/FeatureNaturalClass/isActive/yes	required-by-loader	RequiredByLoader
edge-cases/loader-isactive-breadth	Surface	dtd:enum/Language/isActive/no	required-by-loader	RequiredByLoader
edge-cases/loader-isactive-breadth	Surface	dtd:enum/Language/isActive/yes	required-by-loader	RequiredByLoader
edge-cases/loader-isactive-breadth	Surface	dtd:enum/LexicalEntry/isActive/yes	witnessed	Evidenced
edge-cases/loader-isactive-breadth	Surface	dtd:enum/LexicalEntry/partial/false	witnessed	Evidenced
edge-cases/loader-isactive-breadth	Surface	dtd:enum/MorphologicalPhonologicalRuleFeature/isActive/no	witnessed	EvidencedJointly
edge-cases/loader-isactive-breadth	Surface	dtd:enum/MorphologicalPhonologicalRuleFeature/isActive/yes	required-by-loader	RequiredByLoader
edge-cases/loader-isactive-breadth	Surface	dtd:enum/MorphologicalRule/isActive/no	witnessed	Evidenced
edge-cases/loader-isactive-breadth	Surface	dtd:enum/MorphologicalRule/isActive/yes	witnessed	Evidenced
edge-cases/loader-isactive-breadth	Surface	dtd:enum/MorphologicalSubrule/isActive/no	required-by-loader	RequiredByLoader
