# GENERATED by hc-conformance --write-coverage-traceability. One row per words.yaml
# 'exercises:' claim (self-reported by the fixture author), cross-checked against that
# fixture's OWN grammar.xml. This is a STRUCTURAL check, not a semantic one: Confirmed means
# the construct text names a DTD element/attribute this grammar actually contains, never that
# the word's parse depends on it. Contradicted means identifiers were found in the construct's
# text but none appear in this grammar -- the claim looks wrong. Unmapped means the construct's
# text contains no identifier ConstructClaimCorroboration recognizes, so it cannot be checked
# either way. matched_tokens is empty for Unmapped. signature is "-" for expect_fail/expect_skip words.
fixture	word	signature	construct	status	matched_tokens
edge-cases/diacritic-segments	cafés	COFFEE+PL|cafés	Affix template slots (obligatory/disjunctive/ordering)	Unmapped	-
edge-cases/diacritic-segments	cafés	COFFEE+PL|cafés	AffixProcessRule: prefix/suffix/circumfix/infix	Unmapped	-
edge-cases/diacritic-segments	cafés	COFFEE+PL|cafés	MorphologicalOutputAction: CopyFromInput/InsertSegments	Confirmed	CopyFromInput,InsertSegments
edge-cases/diacritic-segments	caféta	COFFEE+DIM|caféta	Affix template slots (obligatory/disjunctive/ordering)	Unmapped	-
edge-cases/diacritic-segments	caféta	COFFEE+DIM|caféta	AffixProcessRule: prefix/suffix/circumfix/infix	Unmapped	-
edge-cases/diacritic-segments	caféta	COFFEE+DIM|caféta	MorphologicalOutputAction: CopyFromInput/InsertSegments	Confirmed	CopyFromInput,InsertSegments
edge-cases/diacritic-segments	caféta	COFFEE+DIM|caféta	NaturalClass: Segments vs FeatureNaturalClass/SegmentNaturalClass precision	Confirmed	FeatureNaturalClass,SegmentNaturalClass,Segments,naturalClass
edge-cases/diacritic-segments	göls	LAKE+PL|göls	Affix template slots (obligatory/disjunctive/ordering)	Unmapped	-
edge-cases/diacritic-segments	göls	LAKE+PL|göls	AffixProcessRule: prefix/suffix/circumfix/infix	Unmapped	-
edge-cases/diacritic-segments	göls	LAKE+PL|göls	MorphologicalOutputAction: CopyFromInput/InsertSegments	Confirmed	CopyFromInput,InsertSegments
edge-cases/diacritic-segments	gölta	-	NaturalClass: Segments vs FeatureNaturalClass/SegmentNaturalClass precision	Confirmed	FeatureNaturalClass,SegmentNaturalClass,Segments,naturalClass
edge-cases/diacritic-segments	gül	-	Boundary markers (CharacterDefinitionTable)	Confirmed	CharacterDefinitionTable,characterDefinitionTable
edge-cases/diacritic-segments	kelîs	WORD+PL|kelîs	Affix template slots (obligatory/disjunctive/ordering)	Unmapped	-
edge-cases/diacritic-segments	kelîs	WORD+PL|kelîs	AffixProcessRule: prefix/suffix/circumfix/infix	Unmapped	-
edge-cases/diacritic-segments	kelîs	WORD+PL|kelîs	MorphologicalOutputAction: CopyFromInput/InsertSegments	Confirmed	CopyFromInput,InsertSegments
edge-cases/diacritic-segments	kelîta	WORD+DIM|kelîta	Affix template slots (obligatory/disjunctive/ordering)	Unmapped	-
edge-cases/diacritic-segments	kelîta	WORD+DIM|kelîta	AffixProcessRule: prefix/suffix/circumfix/infix	Unmapped	-
edge-cases/diacritic-segments	kelîta	WORD+DIM|kelîta	MorphologicalOutputAction: CopyFromInput/InsertSegments	Confirmed	CopyFromInput,InsertSegments
edge-cases/diacritic-segments	kelîta	WORD+DIM|kelîta	NaturalClass: Segments vs FeatureNaturalClass/SegmentNaturalClass precision	Confirmed	FeatureNaturalClass,SegmentNaturalClass,Segments,naturalClass
edge-cases/disjunctive-recheck	gray	|gray	Disjunctive allomorphs / free-fluctuation	Unmapped	-
edge-cases/disjunctive-recheck	grey	|grey	Disjunctive allomorphs / free-fluctuation	Unmapped	-
edge-cases/disjunctive-recheck	pakda	-	Disjunctive allomorphs / free-fluctuation	Unmapped	-
edge-cases/disjunctive-recheck	pakza	+|pakza	Disjunctive allomorphs / free-fluctuation	Unmapped	-
edge-cases/disjunctive-recheck	pitda	+|pitda	Disjunctive allomorphs / free-fluctuation	Unmapped	-
edge-cases/disjunctive-recheck	pitza	-	Disjunctive allomorphs / free-fluctuation	Unmapped	-
edge-cases/disjunctive-recheck	wak	|wak	Disjunctive allomorphs / free-fluctuation	Unmapped	-
edge-cases/disjunctive-recheck	wakta	-	Disjunctive allomorphs / free-fluctuation	Unmapped	-
edge-cases/disjunctive-recheck	wok	-	Disjunctive allomorphs / free-fluctuation	Unmapped	-
edge-cases/disjunctive-recheck	wokta	+|wokta	Disjunctive allomorphs / free-fluctuation	Unmapped	-
edge-cases/feature-gating-breadth	kal	KAL|kal	Syntactic feature agreement (RequiredHeadFeatures/OutputHeadFeatures/RequiredFootFeatures/OutputFootFeatures)	Confirmed	OutputFootFeatures,OutputHeadFeatures,RequiredFootFeatures,RequiredHeadFeatures
edge-cases/feature-gating-breadth	kalid	KAL+PAST|kalid	RealizationalAffixProcessRule	Unmapped	-
edge-cases/feature-gating-breadth	kalidka	-	Affix template slots (obligatory/disjunctive/ordering)	Unmapped	-
edge-cases/feature-gating-breadth	kalidmu	-	RealizationalAffixProcessRule	Unmapped	-
edge-cases/feature-gating-breadth	kalka	KAL+AGR|kalka	Syntactic feature agreement (RequiredHeadFeatures/OutputHeadFeatures/RequiredFootFeatures/OutputFootFeatures)	Confirmed	OutputFootFeatures,OutputHeadFeatures,RequiredFootFeatures,RequiredHeadFeatures
edge-cases/feature-gating-breadth	kalkano	KAL+AGR+LOUD|kalkano	Syntactic feature agreement (RequiredHeadFeatures/OutputHeadFeatures/RequiredFootFeatures/OutputFootFeatures)	Confirmed	OutputFootFeatures,OutputHeadFeatures,RequiredFootFeatures,RequiredHeadFeatures
edge-cases/feature-gating-breadth	kalmuid	KAL+EMPH+PAST|kalmuid	RealizationalAffixProcessRule	Unmapped	-
edge-cases/feature-gating-breadth	kalnoka	-	Syntactic feature agreement (RequiredHeadFeatures/OutputHeadFeatures/RequiredFootFeatures/OutputFootFeatures)	Confirmed	OutputFootFeatures,OutputHeadFeatures,RequiredFootFeatures,RequiredHeadFeatures
edge-cases/feature-gating-breadth	mol	MOL|mol	Syntactic feature agreement (RequiredHeadFeatures/OutputHeadFeatures/RequiredFootFeatures/OutputFootFeatures)	Confirmed	OutputFootFeatures,OutputHeadFeatures,RequiredFootFeatures,RequiredHeadFeatures
edge-cases/feature-gating-breadth	molka	-	Syntactic feature agreement (RequiredHeadFeatures/OutputHeadFeatures/RequiredFootFeatures/OutputFootFeatures)	Confirmed	OutputFootFeatures,OutputHeadFeatures,RequiredFootFeatures,RequiredHeadFeatures
edge-cases/feature-gating-breadth	nal	NAL|nal	Syntactic feature agreement (RequiredHeadFeatures/OutputHeadFeatures/RequiredFootFeatures/OutputFootFeatures)	Confirmed	OutputFootFeatures,OutputHeadFeatures,RequiredFootFeatures,RequiredHeadFeatures
edge-cases/feature-gating-breadth	nalno	NAL+LOUD|nalno	Syntactic feature agreement (RequiredHeadFeatures/OutputHeadFeatures/RequiredFootFeatures/OutputFootFeatures)	Confirmed	OutputFootFeatures,OutputHeadFeatures,RequiredFootFeatures,RequiredHeadFeatures
edge-cases/feature-gating-breadth	nalnomu	NAL+LOUD+EMPH|nalnomu	Syntactic feature agreement (RequiredHeadFeatures/OutputHeadFeatures/RequiredFootFeatures/OutputFootFeatures)	Confirmed	OutputFootFeatures,OutputHeadFeatures,RequiredFootFeatures,RequiredHeadFeatures
edge-cases/feature-gating-breadth	tun	TUN|tun	Syntactic feature agreement (RequiredHeadFeatures/OutputHeadFeatures/RequiredFootFeatures/OutputFootFeatures)	Confirmed	OutputFootFeatures,OutputHeadFeatures,RequiredFootFeatures,RequiredHeadFeatures
edge-cases/feature-gating-breadth	tunka	-	Syntactic feature agreement (RequiredHeadFeatures/OutputHeadFeatures/RequiredFootFeatures/OutputFootFeatures)	Confirmed	OutputFootFeatures,OutputHeadFeatures,RequiredFootFeatures,RequiredHeadFeatures
edge-cases/feature-system-breadth	ak	-	RewriteRule Iterative (epenthesis/deletion/feature/expansion/merge)	Unmapped	-
edge-cases/feature-system-breadth	ask	-	Alpha-variable phonological environments (VariableFeature/AlphaVariables)	Confirmed	AlphaVariables,VariableFeature,variableFeature
edge-cases/feature-system-breadth	at	AT|at	NaturalClass: Segments vs FeatureNaturalClass/SegmentNaturalClass precision	Confirmed	FeatureNaturalClass,SegmentNaturalClass,Segments,naturalClass
edge-cases/feature-system-breadth	ik	AK|ik	RewriteRule Iterative (epenthesis/deletion/feature/expansion/merge)	Unmapped	-
edge-cases/feature-system-breadth	ikt	TI+SUF|ikt	MetathesisRule	Confirmed	MetathesisRule
edge-cases/feature-system-breadth	ikt	TIK|ikt	MetathesisRule	Confirmed	MetathesisRule
edge-cases/feature-system-breadth	isk	ASK|isk	Alpha-variable phonological environments (VariableFeature/AlphaVariables)	Confirmed	AlphaVariables,VariableFeature,variableFeature
edge-cases/feature-system-breadth	it	TI|it	MetathesisRule	Confirmed	MetathesisRule
edge-cases/feature-system-breadth	itk	-	MetathesisRule	Confirmed	MetathesisRule
edge-cases/feature-system-breadth	ka	KA|ka	MetathesisRule	Confirmed	MetathesisRule
edge-cases/feature-system-breadth	ktl	-	MetathesisRule	Confirmed	MetathesisRule
edge-cases/feature-system-breadth	sal	SAL|sal	NaturalClass: Segments vs FeatureNaturalClass/SegmentNaturalClass precision	Confirmed	FeatureNaturalClass,SegmentNaturalClass,Segments,naturalClass
edge-cases/feature-system-breadth	salk	-	AffixProcessRule: prefix/suffix/circumfix/infix	Unmapped	-
edge-cases/feature-system-breadth	tal	-	Element deactivation (isActive) across loader collections	Confirmed	isActive
edge-cases/feature-system-breadth	ti	-	MetathesisRule	Confirmed	MetathesisRule
edge-cases/feature-system-breadth	tik	-	MetathesisRule	Confirmed	MetathesisRule
edge-cases/feature-system-breadth	tkl	-	MetathesisRule	Confirmed	MetathesisRule
edge-cases/feature-system-breadth	tlk	TKL|tlk	MetathesisRule	Confirmed	MetathesisRule
edge-cases/feature-system-breadth	ts	TS|ts	NaturalClass: Segments vs FeatureNaturalClass/SegmentNaturalClass precision	Confirmed	FeatureNaturalClass,SegmentNaturalClass,Segments,naturalClass
edge-cases/free-fluctuating-allomorph-pair	kit	-	Disjunctive allomorphs / free-fluctuation	Unmapped	-
edge-cases/free-fluctuating-allomorph-pair	kits	ORD+SSFX|kits	Disjunctive allomorphs / free-fluctuation	Unmapped	-
edge-cases/free-fluctuating-allomorph-pair	kot	ORD|kot	Disjunctive allomorphs / free-fluctuation	Unmapped	-
edge-cases/free-fluctuating-allomorph-pair	kots	-	Disjunctive allomorphs / free-fluctuation	Unmapped	-
edge-cases/free-fluctuating-allomorph-pair	pel	ALT|pel	Disjunctive allomorphs / free-fluctuation	Unmapped	-
edge-cases/free-fluctuating-allomorph-pair	pol	ALT|pol	Disjunctive allomorphs / free-fluctuation	Unmapped	-
edge-cases/loader-default-symbol	bat	|bat	Boundary markers (CharacterDefinitionTable)	Confirmed	CharacterDefinitionTable,characterDefinitionTable
edge-cases/loader-default-symbol	bdt	-	Boundary markers (CharacterDefinitionTable)	Confirmed	CharacterDefinitionTable,characterDefinitionTable
edge-cases/loader-isactive	kat	|kat	Boundary markers (CharacterDefinitionTable)	Confirmed	CharacterDefinitionTable,characterDefinitionTable
edge-cases/loader-isactive	sod	|sod	Boundary markers (CharacterDefinitionTable)	Confirmed	CharacterDefinitionTable,characterDefinitionTable
edge-cases/loader-isactive-breadth	kol	-	Element deactivation (isActive) across loader collections	Confirmed	isActive
edge-cases/loader-isactive-breadth	kul	KUL|kul	Element deactivation (isActive) across loader collections	Confirmed	isActive
edge-cases/loader-isactive-breadth	kul=	-	Element deactivation (isActive) across loader collections	Confirmed	isActive
edge-cases/loader-isactive-breadth	mep	-	Element deactivation (isActive) across loader collections	Confirmed	isActive
edge-cases/loader-isactive-breadth	mo+kul	MO+KUL|mo+?kul	Element deactivation (isActive) across loader collections	Confirmed	isActive
edge-cases/loader-isactive-breadth	mukul	-	Element deactivation (isActive) across loader collections	Confirmed	isActive
edge-cases/loader-isactive-breadth	otkul	-	Element deactivation (isActive) across loader collections	Confirmed	isActive
edge-cases/loader-isactive-breadth	pekul	-	Element deactivation (isActive) across loader collections	Confirmed	isActive
edge-cases/loader-isactive-breadth	put	-	Element deactivation (isActive) across loader collections	Confirmed	isActive
edge-cases/loader-isactive-breadth	qekul	-	Element deactivation (isActive) across loader collections	Confirmed	isActive
edge-cases/loader-isactive-breadth	qokul	-	Element deactivation (isActive) across loader collections	Confirmed	isActive
edge-cases/loader-isactive-breadth	qot	-	Element deactivation (isActive) across loader collections	Confirmed	isActive
edge-cases/loader-isactive-breadth	qukul	-	Element deactivation (isActive) across loader collections	Confirmed	isActive
edge-cases/loader-isactive-breadth	takul	TA+KUL|takul	Element deactivation (isActive) across loader collections	Confirmed	isActive
edge-cases/loader-isactive-breadth	tatakul	-	Element deactivation (isActive) across loader collections	Confirmed	isActive
edge-cases/loader-isactive-breadth	tatatakul	-	Element deactivation (isActive) across loader collections	Confirmed	isActive
edge-cases/loader-isactive-breadth	tup	-	Element deactivation (isActive) across loader collections	Confirmed	isActive
edge-cases/loader-isactive-breadth	zal	-	Element deactivation (isActive) across loader collections	Confirmed	isActive
edge-cases/loader-pattern-shapes	bat	|b[ae]t	Boundary markers (CharacterDefinitionTable)	Confirmed	CharacterDefinitionTable,characterDefinitionTable
edge-cases/loader-pattern-shapes	bet	|b[ae]t	Boundary markers (CharacterDefinitionTable)	Confirmed	CharacterDefinitionTable,characterDefinitionTable
edge-cases/loader-pattern-shapes	bit	-	Boundary markers (CharacterDefinitionTable)	Confirmed	CharacterDefinitionTable,characterDefinitionTable
edge-cases/loader-pattern-shapes	bt	-	CharacterDefinitionTable pattern shapes: optional group / Kleene star	Confirmed	CharacterDefinitionTable,characterDefinitionTable
edge-cases/metathesis-comparison-crash	ti	-	MetathesisRule	Confirmed	MetathesisRule
edge-cases/morphotactic-attribute-breadth	bak	VAK|bak	Ordinary/realizational rule constraints (MaxApplicationCount/RequiredStemName/Blockable)	Contradicted	requiredStemName
edge-cases/morphotactic-attribute-breadth	bakgi	VAK+UNBLK|bakgi	Ordinary/realizational rule constraints (MaxApplicationCount/RequiredStemName/Blockable)	Contradicted	requiredStemName
edge-cases/morphotactic-attribute-breadth	dom	ZOM|dom	Syntactic feature agreement (RequiredHeadFeatures/OutputHeadFeatures/RequiredFootFeatures/OutputFootFeatures)	Confirmed	OutputFootFeatures,OutputHeadFeatures,RequiredFootFeatures,RequiredHeadFeatures
edge-cases/morphotactic-attribute-breadth	kul	KUL|kul	Ordinary/realizational rule constraints (MaxApplicationCount/RequiredStemName/Blockable)	Contradicted	requiredStemName
edge-cases/morphotactic-attribute-breadth	kulba	-	Ordinary/realizational rule constraints (MaxApplicationCount/RequiredStemName/Blockable)	Contradicted	requiredStemName
edge-cases/morphotactic-attribute-breadth	kulbubidu	KUL+MB+MA+MREQ|kulbubidu	MPR features/groups	Unmapped	-
edge-cases/morphotactic-attribute-breadth	kulde	KUL+TWICE|kulde	Ordinary/realizational rule constraints (MaxApplicationCount/RequiredStemName/Blockable)	Contradicted	requiredStemName
edge-cases/morphotactic-attribute-breadth	kuldede	KUL+TWICE|kuldede	Ordinary/realizational rule constraints (MaxApplicationCount/RequiredStemName/Blockable)	Contradicted	requiredStemName
edge-cases/morphotactic-attribute-breadth	kuldedede	-	Ordinary/realizational rule constraints (MaxApplicationCount/RequiredStemName/Blockable)	Contradicted	requiredStemName
edge-cases/morphotactic-attribute-breadth	kulgi	KUL+UNBLK|kulgi	MPR features/groups	Unmapped	-
edge-cases/morphotactic-attribute-breadth	kulgimo	KUL+UNBLK+PART|kulgimo	Affix template slots (obligatory/disjunctive/ordering)	Unmapped	-
edge-cases/morphotactic-attribute-breadth	kulmo	KUL+PART|kulmo	Ordinary/realizational rule constraints (MaxApplicationCount/RequiredStemName/Blockable)	Contradicted	requiredStemName
edge-cases/morphotactic-attribute-breadth	kulmoru	KUL+PART+REAL|kulmoru	Affix template slots (obligatory/disjunctive/ordering)	Unmapped	-
edge-cases/morphotactic-attribute-breadth	kulpu	-	Affix template slots (obligatory/disjunctive/ordering)	Unmapped	-
edge-cases/morphotactic-attribute-breadth	kulru	KUL+REAL|kulru	RealizationalAffixProcessRule	Unmapped	-
edge-cases/morphotactic-attribute-breadth	kulsi	-	Element deactivation (isActive) across loader collections	Confirmed	isActive
edge-cases/morphotactic-attribute-breadth	kur	-	Disjunctive allomorphs / free-fluctuation	Unmapped	-
edge-cases/morphotactic-attribute-breadth	nap	NAP|nap	Ordinary/realizational rule constraints (MaxApplicationCount/RequiredStemName/Blockable)	Contradicted	requiredStemName
edge-cases/morphotactic-attribute-breadth	napmo	-	Ordinary/realizational rule constraints (MaxApplicationCount/RequiredStemName/Blockable)	Contradicted	requiredStemName
edge-cases/morphotactic-attribute-breadth	pog	POG|pog	Ordinary/realizational rule constraints (MaxApplicationCount/RequiredStemName/Blockable)	Contradicted	requiredStemName
edge-cases/morphotactic-attribute-breadth	pogli	POG+POGAFX|pogli	Affix template slots (obligatory/disjunctive/ordering)	Unmapped	-
edge-cases/morphotactic-attribute-breadth	pogliti	POG+POGAFX+PO|pogliti	Ordinary/realizational rule constraints (MaxApplicationCount/RequiredStemName/Blockable)	Contradicted	requiredStemName
edge-cases/morphotactic-attribute-breadth	pogti	POG+PO|pogti	Ordinary/realizational rule constraints (MaxApplicationCount/RequiredStemName/Blockable)	Contradicted	requiredStemName
edge-cases/morphotactic-attribute-breadth	rog	ROG|rog	Syntactic feature agreement (RequiredHeadFeatures/OutputHeadFeatures/RequiredFootFeatures/OutputFootFeatures)	Confirmed	OutputFootFeatures,OutputHeadFeatures,RequiredFootFeatures,RequiredHeadFeatures
edge-cases/morphotactic-attribute-breadth	sim	SIM|sim	Syntactic feature agreement (RequiredHeadFeatures/OutputHeadFeatures/RequiredFootFeatures/OutputFootFeatures)	Confirmed	OutputFootFeatures,OutputHeadFeatures,RequiredFootFeatures,RequiredHeadFeatures
edge-cases/morphotactic-attribute-breadth	simru	SIM+REAL|simru	Ordinary/realizational rule constraints (MaxApplicationCount/RequiredStemName/Blockable)	Contradicted	requiredStemName
edge-cases/morphotactic-attribute-breadth	sol	-	MorphemeCoOccurrenceRule/AllomorphCoOccurrenceRule	Confirmed	AllomorphCoOccurrenceRule,MorphemeCoOccurrenceRule
edge-cases/morphotactic-attribute-breadth	top	TOP|top	Ordinary/realizational rule constraints (MaxApplicationCount/RequiredStemName/Blockable)	Contradicted	requiredStemName
edge-cases/morphotactic-attribute-breadth	topsakanabu	TOP+COA+COB+COD+MB|topsakanabu	Affix template slots (obligatory/disjunctive/ordering)	Unmapped	-
edge-cases/morphotactic-attribute-breadth	topsakatana	TOP+COA+COB+COC+COD|topsakatana	MorphemeCoOccurrenceRule/AllomorphCoOccurrenceRule	Confirmed	AllomorphCoOccurrenceRule,MorphemeCoOccurrenceRule
edge-cases/mpr-gated-exception	menulik	NPFX+TULIK|menulik	RewriteRule direction (Dir): left-to-right	Unmapped	-
edge-cases/mpr-group-overwrite-without-realizational	udof	THEMEA+DOF|udof	MPR features/groups	Unmapped	-
edge-cases/mpr-group-overwrite-without-realizational	udofq	THEMEA+DOF+ENDC|udofq	MPR features/groups	Unmapped	-
edge-cases/mpr-group-overwrite-without-realizational	wudof	THEMEB+THEMEA+DOF|wudof	MPR features/groups	Unmapped	-
edge-cases/mpr-group-overwrite-without-realizational	wudofq	-	MPR features/groups	Unmapped	-
edge-cases/process-morphology-in-place-mutation	a	ROOT+ABLAUT|a	MorphologicalOutputAction: ModifyFromInput/InsertSimpleContext	Confirmed	InsertSimpleContext,ModifyFromInput
edge-cases/right-to-left-anchor-environment	aa	-	RewriteRule direction (Dir): right-to-left	Unmapped	-
edge-cases/right-to-left-anchor-environment	aaa	-	RewriteRule direction (Dir): right-to-left	Unmapped	-
edge-cases/right-to-left-anchor-environment	aae	ROOT1|aae	RewriteRule direction (Dir): right-to-left	Unmapped	-
edge-cases/right-to-left-anchor-environment	ae	ROOT2|ae	RewriteRule direction (Dir): right-to-left	Unmapped	-
edge-cases/right-to-left-anchor-environment	aea	-	RewriteRule direction (Dir): right-to-left	Unmapped	-
edge-cases/right-to-left-anchor-environment	eaa	-	RewriteRule direction (Dir): right-to-left	Unmapped	-
edge-cases/right-to-left-anchor-environment	eaaa	-	RewriteRule direction (Dir): right-to-left	Unmapped	-
edge-cases/right-to-left-anchor-environment	eeae	ROOT3|eeae	RewriteRule direction (Dir): right-to-left	Unmapped	-
edge-cases/right-to-left-anchor-environment	eeee	-	RewriteRule direction (Dir): right-to-left	Unmapped	-
edge-cases/stem-name-restricted-root-allomorph	kap	-	Stem names	Unmapped	-
edge-cases/stem-name-restricted-root-allomorph	kapom	ROOT+PERS1|kapom	Stem names	Unmapped	-
edge-cases/stem-name-restricted-root-allomorph	kapur	-	Stem names	Unmapped	-
edge-cases/stem-name-restricted-root-allomorph	tam	ROOT|tam	Stem names	Unmapped	-
edge-cases/stem-name-restricted-root-allomorph	tamom	-	Stem names	Unmapped	-
edge-cases/stem-name-restricted-root-allomorph	tamur	ROOT+PERS2|tamur	Stem names	Unmapped	-
edge-cases/strrep-identity	imat	++|[(^0)∅]?+?i+?mat	NaturalClass: Segments vs FeatureNaturalClass/SegmentNaturalClass precision	Confirmed	FeatureNaturalClass,SegmentNaturalClass,Segments,naturalClass
edge-cases/strrep-identity	imat	++|i+?[(^0)∅]?+?mat	NaturalClass: Segments vs FeatureNaturalClass/SegmentNaturalClass precision	Confirmed	FeatureNaturalClass,SegmentNaturalClass,Segments,naturalClass
edge-cases/strrep-identity	imat	+|i+?mat	NaturalClass: Segments vs FeatureNaturalClass/SegmentNaturalClass precision	Confirmed	FeatureNaturalClass,SegmentNaturalClass,Segments,naturalClass
edge-cases/strrep-identity	ipat	-	NaturalClass: Segments vs FeatureNaturalClass/SegmentNaturalClass precision	Confirmed	FeatureNaturalClass,SegmentNaturalClass,Segments,naturalClass
edge-cases/strrep-identity	mat	+|[(^0)∅]?+?mat	NaturalClass: Segments vs FeatureNaturalClass/SegmentNaturalClass precision	Confirmed	FeatureNaturalClass,SegmentNaturalClass,Segments,naturalClass
edge-cases/strrep-identity	mat	|mat	NaturalClass: Segments vs FeatureNaturalClass/SegmentNaturalClass precision	Confirmed	FeatureNaturalClass,SegmentNaturalClass,Segments,naturalClass
edge-cases/strrep-identity	mumat	+|mu+?mat	NaturalClass: Segments vs FeatureNaturalClass/SegmentNaturalClass precision	Confirmed	FeatureNaturalClass,SegmentNaturalClass,Segments,naturalClass
edge-cases/strrep-identity	mupat	+|mu+?pat	NaturalClass: Segments vs FeatureNaturalClass/SegmentNaturalClass precision	Confirmed	FeatureNaturalClass,SegmentNaturalClass,Segments,naturalClass
edge-cases/strrep-identity	muuta	-	NaturalClass: Segments vs FeatureNaturalClass/SegmentNaturalClass precision	Confirmed	FeatureNaturalClass,SegmentNaturalClass,Segments,naturalClass
edge-cases/strrep-identity	mwpat	-	NaturalClass: Segments vs FeatureNaturalClass/SegmentNaturalClass precision	Confirmed	FeatureNaturalClass,SegmentNaturalClass,Segments,naturalClass
edge-cases/strrep-identity	mwuta	+|mw+?uta	NaturalClass: Segments vs FeatureNaturalClass/SegmentNaturalClass precision	Confirmed	FeatureNaturalClass,SegmentNaturalClass,Segments,naturalClass
edge-cases/strrep-identity	ndmat	-	NaturalClass: Segments vs FeatureNaturalClass/SegmentNaturalClass precision	Confirmed	FeatureNaturalClass,SegmentNaturalClass,Segments,naturalClass
edge-cases/strrep-identity	ndpat	++|[(^0)∅]?+?nd+?pat	NaturalClass: Segments vs FeatureNaturalClass/SegmentNaturalClass precision	Confirmed	FeatureNaturalClass,SegmentNaturalClass,Segments,naturalClass
